"time","ApparentPower","Current","Power","ReactivePower","Voltage"
"2023-02-16T11:06:10.000+01:00","55","0.25","51","20","220"
"2023-02-16T11:06:20.000+01:00","52","0.239","52","0","220"
"2023-02-16T11:06:30.000+01:00","54","0.247","52","15","220"
"2023-02-16T11:06:40.000+01:00","40","0.184","40","0","220"
"2023-02-16T11:06:50.000+01:00","35","0.158","30","17","220"
"2023-02-16T11:07:00.000+01:00","35","0.157","26","22","220"
"2023-02-16T11:07:10.000+01:00","32","0.146","29","14","220"
"2023-02-16T11:07:20.000+01:00","33","0.149","28","18","220"
"2023-02-16T11:07:30.000+01:00","31","0.143","28","15","220"
"2023-02-16T11:07:40.000+01:00","32","0.147","26","20","220"
"2023-02-16T11:07:50.000+01:00","31","0.143","28","14","220"
"2023-02-16T11:08:00.000+01:00","31","0.143","25","20","220"
"2023-02-16T11:08:10.000+01:00","31","0.141","27","15","220"
"2023-02-16T11:08:20.000+01:00","32","0.144","26","18","220"
"2023-02-16T11:08:30.000+01:00","33","0.149","29","16","220"
"2023-02-16T11:08:40.000+01:00","34","0.156","26","23","220"
"2023-02-16T11:08:50.000+01:00","31","0.139","27","15","220"
"2023-02-16T11:09:00.000+01:00","31","0.142","27","17","221"
"2023-02-16T11:09:10.000+01:00","33","0.148","27","19","220"
"2023-02-16T11:09:20.000+01:00","32","0.145","26","18","220"
"2023-02-16T11:09:30.000+01:00","32","0.146","26","18","220"
"2023-02-16T11:09:40.000+01:00","31","0.142","29","13","220"
"2023-02-16T11:09:50.000+01:00","32","0.145","26","19","220"
"2023-02-16T11:10:00.000+01:00","32","0.147","26","19","220"
"2023-02-16T11:10:10.000+01:00","31","0.143","26","17","220"
"2023-02-16T11:10:20.000+01:00","32","0.146","30","12","220"
"2023-02-16T11:10:30.000+01:00","34","0.155","27","21","220"
"2023-02-16T11:10:40.000+01:00","32","0.146","25","20","220"
"2023-02-16T11:10:50.000+01:00","31","0.142","28","14","220"
"2023-02-16T11:11:00.000+01:00","31","0.142","29","13","221"
"2023-02-16T11:11:10.000+01:00","31","0.143","25","19","220"
"2023-02-16T11:11:20.000+01:00","32","0.144","27","16","220"
"2023-02-16T11:11:30.000+01:00","32","0.145","28","15","220"
"2023-02-16T11:11:40.000+01:00","31","0.142","27","16","220"
"2023-02-16T11:11:50.000+01:00","31","0.143","28","15","220"
"2023-02-16T11:12:00.000+01:00","31","0.14","27","15","220"
"2023-02-16T11:12:10.000+01:00","31","0.143","28","13","220"
"2023-02-16T11:12:20.000+01:00","84","0.384","84","0","220"
"2023-02-16T11:12:30.000+01:00","107","0.489","106","0","219"
"2023-02-16T11:12:40.000+01:00","103","0.466","100","23","220"
"2023-02-16T11:12:50.000+01:00","101","0.459","99","19","220"
"2023-02-16T11:13:00.000+01:00","101","0.459","100","16","220"
"2023-02-16T11:13:10.000+01:00","102","0.462","100","20","220"
"2023-02-16T11:13:20.000+01:00","103","0.467","99","28","220"
"2023-02-16T11:13:30.000+01:00","103","0.467","100","25","220"
