"time","ApparentPower","Current","Factor","Power","ReactivePower","Voltage"
2023-02-16T11:06:10.000+01:00,55,0.25,0.93,51,20,220
2023-02-16T11:06:20.000+01:00,52,0.239,1,52,0,220
2023-02-16T11:06:30.000+01:00,54,0.247,0.96,52,15,220
2023-02-16T11:06:40.000+01:00,40,0.184,1,40,0,220
2023-02-16T11:06:50.000+01:00,35,0.158,0.87,30,17,220
2023-02-16T11:07:00.000+01:00,35,0.157,0.77,26,22,220
2023-02-16T11:07:10.000+01:00,32,0.146,0.9,29,14,220
2023-02-16T11:07:20.000+01:00,33,0.149,0.84,28,18,220
2023-02-16T11:07:30.000+01:00,31,0.143,0.88,28,15,220
2023-02-16T11:07:40.000+01:00,32,0.147,0.79,26,20,220
2023-02-16T11:07:50.000+01:00,31,0.143,0.89,28,14,220
2023-02-16T11:08:00.000+01:00,31,0.143,0.78,25,20,220
2023-02-16T11:08:10.000+01:00,31,0.141,0.88,27,15,220
2023-02-16T11:08:20.000+01:00,32,0.144,0.82,26,18,220
2023-02-16T11:08:30.000+01:00,33,0.149,0.87,29,16,220
2023-02-16T11:08:40.000+01:00,34,0.156,0.75,26,23,220
2023-02-16T11:08:50.000+01:00,31,0.139,0.87,27,15,220
2023-02-16T11:09:00.000+01:00,31,0.142,0.85,27,17,221
2023-02-16T11:09:10.000+01:00,33,0.148,0.82,27,19,220
2023-02-16T11:09:20.000+01:00,32,0.145,0.82,26,18,220
2023-02-16T11:09:30.000+01:00,32,0.146,0.82,26,18,220
2023-02-16T11:09:40.000+01:00,31,0.142,0.91,29,13,220
2023-02-16T11:09:50.000+01:00,32,0.145,0.8,26,19,220
2023-02-16T11:10:00.000+01:00,32,0.147,0.81,26,19,220
2023-02-16T11:10:10.000+01:00,31,0.143,0.84,26,17,220
2023-02-16T11:10:20.000+01:00,32,0.146,0.93,30,12,220
2023-02-16T11:10:30.000+01:00,34,0.155,0.8,27,21,220
2023-02-16T11:10:40.000+01:00,32,0.146,0.79,25,20,220
2023-02-16T11:10:50.000+01:00,31,0.142,0.9,28,14,220
2023-02-16T11:11:00.000+01:00,31,0.142,0.91,29,13,221
2023-02-16T11:11:10.000+01:00,31,0.143,0.79,25,19,220
2023-02-16T11:11:20.000+01:00,32,0.144,0.86,27,16,220
2023-02-16T11:11:30.000+01:00,32,0.145,0.89,28,15,220
2023-02-16T11:11:40.000+01:00,31,0.142,0.85,27,16,220
2023-02-16T11:11:50.000+01:00,31,0.143,0.88,28,15,220
2023-02-16T11:12:00.000+01:00,31,0.14,0.88,27,15,220
2023-02-16T11:12:10.000+01:00,31,0.143,0.9,28,13,220
2023-02-16T11:12:20.000+01:00,84,0.384,1,84,0,220
2023-02-16T11:12:30.000+01:00,107,0.489,0.99,106,0,219
2023-02-16T11:12:40.000+01:00,103,0.466,0.97,100,23,220
2023-02-16T11:12:50.000+01:00,101,0.459,0.98,99,19,220
2023-02-16T11:13:00.000+01:00,101,0.459,0.99,100,16,220
2023-02-16T11:13:10.000+01:00,102,0.462,0.98,100,20,220
2023-02-16T11:13:20.000+01:00,103,0.467,0.96,99,28,220
2023-02-16T11:13:30.000+01:00,103,0.467,0.97,100,25,220
2023-02-16T11:13:40.000+01:00,102,0.464,0.97,99,26,220
2023-02-16T11:13:50.000+01:00,101,0.458,0.99,100,0,220
2023-02-16T11:14:00.000+01:00,100,0.456,1,100,0,220
2023-02-16T11:14:10.000+01:00,101,0.46,0.98,99,21,220
2023-02-16T11:14:20.000+01:00,102,0.463,0.98,100,21,220
2023-02-16T11:14:30.000+01:00,100,0.456,0.99,99,17,220
2023-02-16T11:14:40.000+01:00,101,0.46,0.97,98,26,220
2023-02-16T11:14:50.000+01:00,101,0.459,0.97,98,25,220
2023-02-16T11:15:00.000+01:00,100,0.456,0.98,98,22,220
2023-02-16T11:15:10.000+01:00,99,0.452,1,99,0,220
2023-02-16T11:15:20.000+01:00,101,0.461,0.96,98,27,220
2023-02-16T11:15:30.000+01:00,100,0.456,0.98,98,20,220
2023-02-16T11:15:40.000+01:00,100,0.454,0.99,99,14,220
2023-02-16T11:15:50.000+01:00,100,0.455,0.97,97,24,219
2023-02-16T11:16:00.000+01:00,99,0.45,0.97,96,23,220
2023-02-16T11:16:10.000+01:00,100,0.455,0.98,98,20,220
2023-02-16T11:16:20.000+01:00,99,0.452,0.98,97,19,220
2023-02-16T11:16:30.000+01:00,99,0.451,0.99,98,16,220
2023-02-16T11:16:40.000+01:00,101,0.458,0.96,97,28,220
2023-02-16T11:16:50.000+01:00,101,0.461,0.98,99,22,220
2023-02-16T11:17:00.000+01:00,101,0.463,0.98,100,20,219
2023-02-16T11:17:10.000+01:00,100,0.457,0.99,100,0,219
2023-02-16T11:17:20.000+01:00,100,0.459,0.97,98,23,219
2023-02-16T11:17:30.000+01:00,46,0.209,1,46,0,219
2023-02-16T11:17:40.000+01:00,5,0.022,0.15,1,5,219
2023-02-16T11:17:50.000+01:00,5,0.023,0.16,1,5,220
2023-02-16T11:18:00.000+01:00,5,0.023,0.14,1,5,220
2023-02-16T11:18:10.000+01:00,5,0.023,0.14,1,5,220
2023-02-16T11:18:20.000+01:00,5,0.022,0.14,1,5,220
2023-02-16T11:18:30.000+01:00,5,0.021,0.15,1,5,220
2023-02-16T11:18:40.000+01:00,5,0.023,0.16,1,5,220
2023-02-16T11:18:50.000+01:00,5,0.023,0.14,1,5,220
2023-02-16T11:19:00.000+01:00,5,0.021,0.13,1,5,220
2023-02-16T11:19:10.000+01:00,5,0.023,0.14,1,5,220
2023-02-16T11:19:20.000+01:00,5,0.023,0.14,1,5,220
2023-02-16T11:19:30.000+01:00,5,0.023,0.16,1,5,220
2023-02-16T11:19:40.000+01:00,5,0.023,0.16,1,5,220
2023-02-16T11:19:50.000+01:00,5,0.023,0.16,1,5,220
2023-02-16T11:20:00.000+01:00,5,0.022,0.16,1,5,221
2023-02-16T11:20:10.000+01:00,5,0.022,0.14,1,5,221
2023-02-16T11:20:20.000+01:00,5,0.023,0.12,1,5,220
2023-02-16T11:20:30.000+01:00,4,0.019,0.14,1,4,220
2023-02-16T11:20:40.000+01:00,4,0.02,0.14,1,4,221
2023-02-16T11:20:50.000+01:00,4,0.02,0.14,1,4,220
2023-02-16T11:21:00.000+01:00,5,0.023,0.12,1,5,220
2023-02-16T11:21:10.000+01:00,5,0.022,0.14,1,5,221
2023-02-16T11:21:20.000+01:00,5,0.022,0.14,1,5,221
2023-02-16T11:21:30.000+01:00,5,0.023,1,5,0,221
2023-02-16T11:21:40.000+01:00,86,0.389,0.96,82,24,220
2023-02-16T11:21:50.000+01:00,31,0.141,0.84,26,17,220
2023-02-16T11:22:00.000+01:00,51,0.231,0.51,26,44,220
2023-02-16T11:22:10.000+01:00,30,0.136,0.8,24,18,220
2023-02-16T11:22:20.000+01:00,30,0.136,0.77,23,19,220
2023-02-16T11:22:30.000+01:00,30,0.135,0.8,24,18,220
2023-02-16T11:22:40.000+01:00,33,0.15,0.78,26,21,221
2023-02-16T11:22:50.000+01:00,34,0.156,0.72,25,24,220
2023-02-16T11:23:00.000+01:00,30,0.135,0.84,25,16,220
2023-02-16T11:23:10.000+01:00,32,0.144,0.82,26,18,220
2023-02-16T11:23:20.000+01:00,31,0.142,0.83,26,17,221
2023-02-16T11:23:30.000+01:00,28,0.128,0.81,23,17,220
2023-02-16T11:23:40.000+01:00,30,0.134,0.77,23,19,220
2023-02-16T11:23:50.000+01:00,28,0.129,0.77,22,18,221
2023-02-16T11:24:00.000+01:00,27,0.124,0.84,23,15,221
2023-02-16T11:24:10.000+01:00,42,0.19,0.53,22,36,221
2023-02-16T11:24:20.000+01:00,27,0.124,0.76,21,18,221
2023-02-16T11:24:30.000+01:00,28,0.126,0.74,21,19,221
2023-02-16T11:24:40.000+01:00,29,0.13,0.79,23,17,221
2023-02-16T11:24:50.000+01:00,27,0.123,0.77,21,17,220
2023-02-16T11:25:00.000+01:00,27,0.122,0.82,22,15,221
2023-02-16T11:25:10.000+01:00,28,0.125,0.84,23,15,221
2023-02-16T11:25:20.000+01:00,28,0.126,0.8,22,17,220
2023-02-16T11:25:30.000+01:00,30,0.134,0.74,22,20,220
2023-02-16T11:25:40.000+01:00,58,0.263,1,58,0,220
2023-02-16T11:25:50.000+01:00,79,0.359,0.43,34,71,220
2023-02-17T09:04:40.000+01:00,37,0.171,0.98,37,7,218
