"time","ApparentPower","Current","Factor","Power","ReactivePower","Voltage"
2023-03-07 20:11:20,15,0.0610,0.380,6,14,243
2023-03-07 20:11:30,14,0.0590,0.400,6,13,243
2023-03-07 20:11:40,14,0.0600,0.390,6,13,241
2023-03-07 20:11:50,14,0.0600,0.390,6,13,241
2023-03-07 20:12:00,14,0.0590,0.390,6,13,240
2023-03-07 20:12:10,14,0.0590,0.390,6,13,240
2023-03-07 20:12:20,14,0.0590,0.400,6,13,240
2023-03-07 20:12:30,14,0.0590,0.390,6,13,241
2023-03-07 20:12:40,14,0.0580,0.400,6,13,240
2023-03-07 20:12:50,14,0.0580,0.390,5,13,240
2023-03-07 20:13:00,14,0.0580,0.400,6,13,240
2023-03-07 20:13:10,14,0.0570,0.410,6,12,239
2023-03-07 20:13:20,14,0.0570,0.390,5,13,240
2023-03-07 20:13:30,14,0.0580,0.390,5,13,240
2023-03-07 20:13:40,14,0.0560,0.400,6,13,245
2023-03-07 20:13:50,14,0.0560,0.420,6,13,245
2023-03-07 20:14:00,13,0.0550,0.400,5,12,245
2023-03-07 20:14:10,13,0.0540,0.390,5,12,248
2023-03-07 20:14:20,13,0.0540,0.390,5,12,248
2023-03-07 20:14:30,13,0.0540,0.390,5,12,249
2023-03-07 20:14:40,13,0.0540,0.400,5,12,249
2023-03-07 20:14:50,13,0.0540,0.400,5,12,248
2023-03-07 20:15:00,13,0.0540,0.390,5,12,248
2023-03-07 20:15:10,13,0.0530,0.400,5,12,248
2023-03-07 20:15:20,13,0.0530,0.410,5,12,248
2023-03-07 20:15:30,13,0.0540,0.400,5,12,248
2023-03-07 20:15:40,13,0.0530,0.390,5,12,249
2023-03-07 20:15:50,13,0.0530,0.400,5,12,248
2023-03-07 20:16:00,13,0.0530,0.370,5,12,248
2023-03-07 20:16:10,13,0.0520,0.400,5,12,252
2023-03-07 20:16:20,13,0.0520,0.370,5,12,252
2023-03-07 20:16:30,13,0.0520,0.370,5,12,252
2023-03-07 20:16:40,13,0.0530,0.360,5,12,249
2023-03-07 20:16:50,13,0.0520,0.380,5,12,248
2023-03-07 20:17:00,13,0.0520,0.360,5,12,248
2023-03-07 20:17:10,12,0.0490,0.400,5,11,249
2023-03-07 20:17:20,12,0.0490,0.400,5,11,245
2023-03-07 20:17:30,12,0.0510,0.360,5,12,244
2023-03-07 20:17:40,12,0.0510,0.410,5,11,245
2023-03-07 20:17:50,13,0.0510,0.370,5,12,246
2023-03-07 20:18:00,12,0.0500,0.370,5,11,246
2023-03-07 20:18:10,12,0.0500,0.370,5,11,246
2023-03-07 20:18:20,12,0.0510,0.340,4,12,245
2023-03-07 20:18:30,12,0.0510,0.340,4,12,245
2023-03-07 20:18:40,12,0.0510,0.380,5,12,243
2023-03-07 20:18:50,12,0.0500,0.380,5,11,244
2023-03-07 20:19:00,12,0.0480,0.390,5,11,247
2023-03-07 20:19:10,12,0.0480,0.390,5,11,247
2023-03-07 20:19:20,12,0.0470,0.380,4,11,247
2023-03-07 20:19:30,12,0.0480,0.360,4,11,247
2023-03-07 20:19:40,12,0.0470,0.390,5,11,247
2023-03-07 20:19:50,12,0.0470,0.370,4,11,247
2023-03-07 20:20:00,11,0.0460,0.380,4,11,247
2023-03-07 20:20:10,11,0.0460,0.380,4,11,247
2023-03-07 20:20:20,11,0.0460,0.380,4,11,247
2023-03-07 20:20:30,11,0.0460,0.380,4,11,247
2023-03-07 20:20:40,11,0.0460,0.360,4,10,241
2023-03-07 20:20:50,11,0.0460,0.360,4,10,241
2023-03-07 20:21:00,11,0.0470,0.380,4,11,242
2023-03-07 20:21:10,11,0.0460,0.390,4,10,245
2023-03-07 20:21:20,11,0.0450,0.400,4,10,245
2023-03-07 20:21:30,11,0.0460,0.370,4,11,245
2023-03-07 20:21:40,11,0.0460,0.390,4,10,241
2023-03-07 20:21:50,11,0.0470,0.370,4,11,241
2023-03-07 20:22:00,11,0.0450,0.390,4,10,242
2023-03-07 20:22:10,11,0.0450,0.360,4,10,242
2023-03-07 20:22:20,11,0.0450,0.380,4,10,241
2023-03-07 20:22:30,11,0.0450,0.370,4,10,241
2023-03-07 20:22:40,11,0.0450,0.410,4,10,241
2023-03-07 20:22:50,11,0.0450,0.400,4,10,242
2023-03-07 20:23:00,11,0.0450,0.370,4,10,241
2023-03-07 20:23:10,11,0.0450,0.380,4,10,240
2023-03-07 20:23:20,11,0.0450,0.380,4,10,237
2023-03-07 20:23:30,11,0.0450,0.390,4,10,236
2023-03-07 20:23:40,11,0.0450,0.380,4,10,236
2023-03-07 20:23:50,11,0.0450,0.390,4,10,236
2023-03-07 20:24:00,10,0.0440,0.390,4,10,237
2023-03-07 20:24:10,10,0.0440,0.380,4,10,237
2023-03-07 20:24:20,10,0.0440,0.380,4,10,238
2023-03-07 20:24:30,10,0.0440,0.360,4,10,237
2023-03-07 20:24:40,11,0.0450,0.360,4,10,236
2023-03-07 20:24:50,10,0.0440,0.390,4,10,236
2023-03-07 20:25:00,11,0.0450,0.360,4,10,236
2023-03-07 20:25:10,10,0.0430,0.360,4,10,238
2023-03-07 20:25:20,10,0.0430,0.370,4,10,238
2023-03-07 20:25:30,10,0.0430,0.360,4,10,238
2023-03-07 20:25:40,10,0.0430,0.380,4,10,238
2023-03-07 20:25:50,10,0.0430,0.370,4,10,238
2023-03-07 20:26:00,10,0.0430,0.360,4,10,238
2023-03-07 20:26:10,10,0.0410,0.370,4,9,241
2023-03-07 20:26:20,17,0.0700,0.400,7,16,241
2023-03-07 20:26:30,11,0.0460,0.390,4,10,241
2023-03-07 20:26:40,11,0.0460,0.370,4,10,238
2023-03-07 20:26:50,11,0.0450,0.390,4,10,238
2023-03-07 20:27:00,11,0.0450,0.360,4,10,238
2023-03-07 20:27:10,11,0.0450,0.370,4,10,238
2023-03-07 20:27:20,11,0.0450,0.360,4,10,238
2023-03-07 20:27:30,10,0.0440,0.370,4,10,238
2023-03-07 20:27:40,12,0.0500,0.500,6,10,238
2023-03-07 20:27:50,10,0.0410,0.350,3,9,237
2023-03-07 20:28:00,10,0.0410,0.370,4,9,238
2023-03-07 20:28:10,10,0.0430,0.340,4,10,236
2023-03-07 20:28:20,10,0.0420,0.350,4,9,237
2023-03-07 20:28:30,10,0.0420,0.360,4,9,237
2023-03-07 20:28:40,10,0.0410,0.370,4,9,236
2023-03-07 20:28:50,10,0.0410,0.350,3,9,237
2023-03-07 20:29:00,10,0.0410,0.340,3,9,237
2023-03-07 20:29:10,10,0.0410,0.360,4,9,237
2023-03-07 20:29:20,10,0.0410,0.330,3,9,236
2023-03-07 20:29:30,10,0.0410,0.370,4,9,237
2023-03-07 20:29:40,10,0.0410,0.340,3,9,236
2023-03-07 20:29:50,10,0.0410,0.350,3,9,235
2023-03-07 20:30:00,10,0.0410,0.360,4,9,235
2023-03-07 20:30:10,10,0.0410,0.350,3,9,235
2023-03-07 20:30:20,9,0.0400,0.350,3,9,237
2023-03-07 20:30:30,10,0.0410,0.340,3,9,236
2023-03-07 20:30:40,10,0.0410,0.350,3,9,235
2023-03-07 20:30:50,9,0.0400,0.360,3,9,235
2023-03-07 20:31:00,9,0.0400,0.340,3,9,236
2023-03-07 20:31:10,10,0.0400,0.370,4,9,240
2023-03-07 20:31:20,10,0.0400,0.340,3,9,239
2023-03-07 20:31:30,9,0.0390,0.350,3,9,240
2023-03-07 20:31:40,9,0.0390,0.330,3,9,241
2023-03-07 20:31:50,9,0.0390,0.360,3,9,238
2023-03-07 20:32:00,9,0.0390,0.340,3,9,240
2023-03-07 20:32:10,9,0.0390,0.350,3,9,239
2023-03-07 20:32:20,9,0.0380,0.340,3,9,239
2023-03-07 20:32:30,10,0.0400,0.340,3,9,239
2023-03-07 20:32:40,10,0.0400,0.330,3,9,240
2023-03-07 20:32:50,10,0.0400,0.320,3,9,239
2023-03-07 20:33:00,9,0.0380,0.340,3,9,237
2023-03-07 20:33:10,9,0.0380,0.360,3,8,239
2023-03-07 20:33:20,9,0.0380,0.340,3,9,238
2023-03-07 20:33:30,9,0.0380,0.350,3,9,240
2023-03-07 20:33:40,9,0.0380,0.330,3,9,240
2023-03-07 20:33:50,9,0.0380,0.330,3,9,240
2023-03-07 20:34:00,9,0.0380,0.340,3,9,239
2023-03-07 20:34:10,9,0.0370,0.350,3,8,239
2023-03-07 20:34:20,9,0.0370,0.360,3,8,238
2023-03-07 20:34:30,9,0.0370,0.340,3,8,239
2023-03-07 20:34:40,9,0.0370,0.340,3,8,240
2023-03-07 20:34:50,9,0.0360,0.340,3,8,239
2023-03-07 20:35:00,9,0.0360,0.340,3,8,238
