"time","ApparentPower","Current","Factor","Power","ReactivePower","Voltage"
2023-03-07 20:11:30,5,0.0210,0.0400,0,5,232
2023-03-07 20:11:40,3,0.0150,0.0900,0,3,229
2023-03-07 20:11:50,6,0.0260,0.0700,0,6,229
2023-03-07 20:12:00,7,0.0290,0.0500,0,7,229
2023-03-07 20:12:10,4,0.0180,0.0700,0,4,229
2023-03-07 20:12:20,4,0.0160,0.0800,0,4,229
2023-03-07 20:12:30,5,0.0210,0.0400,0,5,229
2023-03-07 20:12:40,4,0.0170,0.0800,0,4,229
2023-03-07 20:12:50,7,0.0300,0.0300,0,7,228
2023-03-07 20:13:00,5,0.0220,0.0600,0,5,229
2023-03-07 20:13:10,6,0.0250,0.0400,0,6,228
2023-03-07 20:13:20,5,0.0200,0.0400,0,5,229
2023-03-07 20:13:30,5,0.0210,0.0600,0,5,229
2023-03-07 20:13:40,4,0.0190,0.0700,0,4,233
2023-03-07 20:13:50,8,0.0340,0.0400,0,8,234
2023-03-07 20:14:00,4,0.0180,0.0500,0,4,233
2023-03-07 20:14:10,7,0.0300,0.0400,0,7,234
2023-03-07 20:14:20,5,0.0230,0.0400,0,5,236
2023-03-07 20:14:30,7,0.0280,0.0500,0,7,236
2023-03-07 20:14:40,5,0.0210,0.0400,0,5,236
2023-03-07 20:14:50,6,0.0270,0.0300,0,6,236
2023-03-07 20:15:00,7,0.0290,0.0400,0,7,236
2023-03-07 20:15:10,4,0.0190,0.0700,0,5,236
2023-03-07 20:15:20,7,0.0280,0.0500,0,7,236
2023-03-07 20:15:30,4,0.0190,0.0400,0,5,236
2023-03-07 20:15:40,8,0.0340,0.0200,0,8,236
2023-03-07 20:15:50,7,0.0290,0.0400,0,7,236
2023-03-07 20:16:00,6,0.0250,0.0300,0,6,236
2023-03-07 20:16:10,4,0.0180,0.120,1,4,240
2023-03-07 20:16:20,10,0.0420,0.0300,0,10,240
2023-03-07 20:16:30,7,0.0280,0.0600,0,7,240
2023-03-07 20:16:40,5,0.0210,0.0600,0,5,236
2023-03-07 20:16:50,7,0.0310,0.0300,0,7,236
2023-03-07 20:17:00,8,0.0350,0.0200,0,8,237
2023-03-07 20:17:10,7,0.0300,0.0400,0,7,236
2023-03-07 20:17:20,9,0.0380,0.0300,0,9,235
2023-03-07 20:17:30,8,0.0350,0.0400,0,8,233
2023-03-07 20:17:40,7,0.0300,0.0400,0,7,234
2023-03-07 20:17:50,7,0.0290,0.0300,0,7,234
2023-03-07 20:18:00,7,0.0320,0.0500,0,8,234
2023-03-07 20:18:10,5,0.0220,0.0600,0,5,233
2023-03-07 20:18:20,7,0.0290,0.0400,0,7,234
2023-03-07 20:18:30,4,0.0190,0.0500,0,4,233
2023-03-07 20:18:40,3,0.0140,0.0900,0,3,231
2023-03-07 20:18:50,3,0.0150,0.0900,0,4,232
2023-03-07 20:19:00,6,0.0270,0.0300,0,6,235
2023-03-07 20:19:10,5,0.0200,0.0400,0,5,235
2023-03-07 20:19:20,5,0.0200,0.0600,0,5,235
2023-03-07 20:19:30,7,0.0280,0.0500,0,7,235
2023-03-07 20:19:40,5,0.0210,0.0400,0,5,235
2023-03-07 20:19:50,3,0.0140,0.0600,0,3,235
2023-03-07 20:20:00,6,0.0250,0.0500,0,6,235
2023-03-07 20:20:10,7,0.0280,0.0500,0,7,235
2023-03-07 20:20:20,4,0.0180,0.0500,0,4,235
2023-03-07 20:20:30,8,0.0340,0.0400,0,8,235
2023-03-07 20:20:40,3,0.0150,0.0600,0,3,230
2023-03-07 20:20:50,3,0.0150,0.0600,0,3,230
2023-03-07 20:21:00,6,0.0260,0.0500,0,6,230
2023-03-07 20:21:10,7,0.0280,0.0300,0,7,233
2023-03-07 20:21:20,8,0.0330,0.0300,0,8,233
2023-03-07 20:21:30,9,0.0380,0.0300,0,9,234
2023-03-07 20:21:40,4,0.0180,0.0500,0,4,230
2023-03-07 20:21:50,6,0.0280,0.0300,0,6,230
2023-03-07 20:22:00,7,0.0290,0.0300,0,7,230
2023-03-07 20:22:10,7,0.0320,0.0400,0,7,230
2023-03-07 20:22:20,5,0.0220,0.0600,0,5,230
2023-03-07 20:22:30,10,0.0420,0.0300,0,10,230
2023-03-07 20:22:40,4,0.0170,0.0800,0,4,230
2023-03-07 20:23:10,3.50,0.0140,0.0800,0,3.50,230
2023-03-07 20:23:20,5,0.0220,0.0400,0,5,226
2023-03-07 20:23:30,4,0.0180,0.0500,0,4,225
2023-03-07 20:23:40,4,0.0180,0.0500,0,4,224
