"time","ApparentPower","Current","Factor","Power","ReactivePower","Voltage"
"2023-02-16T08:49:30.000+01:00","17","0.08","0.05","1","17","212"
"2023-02-16T08:49:40.000+01:00","17","0.081","0.05","1","17","213"
"2023-02-16T08:49:50.000+01:00","17","0.081","0.05","1","17","213"
"2023-02-16T08:50:00.000+01:00","18","0.081","0.05","1","18","217"
"2023-02-16T08:50:10.000+01:00","18","0.083","0.05","1","18","217"
"2023-02-16T08:50:20.000+01:00","18","0.082","0.05","1","18","217"
"2023-02-16T08:50:30.000+01:00","18","0.083","0.04","1","18","216"
"2023-02-16T08:50:40.000+01:00","18","0.082","0.05","1","18","216"
"2023-02-16T08:50:50.000+01:00","17","0.077","0.04","1","17","217"
"2023-02-16T08:51:00.000+01:00","18","0.084","0.04","1","18","217"
"2023-02-16T08:51:10.000+01:00","18","0.083","0.04","1","18","217"
"2023-02-16T08:51:20.000+01:00","18","0.082","0.05","1","18","216"
"2023-02-16T08:51:30.000+01:00","18","0.082","0.05","1","18","216"
"2023-02-16T08:51:40.000+01:00","18","0.082","0.05","1","18","216"
"2023-02-16T08:51:50.000+01:00","18","0.082","0.05","1","18","216"
"2023-02-16T08:52:00.000+01:00","18","0.083","0.04","1","18","216"
"2023-02-16T08:52:10.000+01:00","17","0.079","0.05","1","17","216"
"2023-02-16T08:52:20.000+01:00","18","0.082","0.05","1","18","216"
"2023-02-16T08:52:30.000+01:00","17","0.079","0.05","1","17","216"
"2023-02-16T08:52:40.000+01:00","18","0.082","0.05","1","18","216"
"2023-02-16T08:52:50.000+01:00","18","0.082","0.05","1","18","216"
"2023-02-16T08:53:00.000+01:00","18","0.083","0.04","1","18","216"
"2023-02-16T08:53:10.000+01:00","18","0.082","0.05","1","18","216"
"2023-02-16T08:53:20.000+01:00","18","0.082","0.05","1","18","217"
"2023-02-16T08:53:30.000+01:00","18","0.081","0.05","1","18","217"
"2023-02-16T08:53:40.000+01:00","18","0.083","0.04","1","18","217"
"2023-02-16T08:53:50.000+01:00","18","0.082","0.04","1","18","217"
"2023-02-16T08:54:00.000+01:00","18","0.082","0.04","1","18","217"
"2023-02-16T08:54:10.000+01:00","18","0.082","0.04","1","18","217"
"2023-02-16T08:54:20.000+01:00","18","0.082","0.05","1","18","217"
"2023-02-16T08:54:30.000+01:00","18","0.083","0.04","1","18","217"
"2023-02-16T08:54:40.000+01:00","18","0.082","0.04","1","18","217"
"2023-02-16T08:54:50.000+01:00","18","0.082","0.05","1","18","217"
"2023-02-16T08:55:00.000+01:00","18","0.082","0.05","1","18","216"
"2023-02-16T08:55:10.000+01:00","18","0.082","0.05","1","18","216"
"2023-02-16T08:55:20.000+01:00","18","0.081","0.05","1","18","216"
