"time","ApparentPower","Current","Factor","Power","ReactivePower","Voltage"
"2023-02-20T09:02:30.000+01:00","10","0.045","0.41","4","9","219"
"2023-02-20T09:02:40.000+01:00","10","0.047","0.38","4","10","219"
"2023-02-20T09:02:50.000+01:00","10","0.046","0.38","4","9","219"
"2023-02-20T09:03:00.000+01:00","10","0.047","0.39","4","10","219"
"2023-02-20T09:03:10.000+01:00","10","0.046","0.38","4","9","218"
"2023-02-20T09:03:20.000+01:00","10","0.046","0.39","4","9","219"
"2023-02-20T09:03:30.000+01:00","10","0.046","0.39","4","9","219"
"2023-02-20T09:03:40.000+01:00","10","0.046","0.4","4","9","218"
"2023-02-20T09:03:50.000+01:00","10","0.046","0.39","4","9","218"
"2023-02-20T09:04:00.000+01:00","10","0.047","0.38","4","10","219"
"2023-02-20T09:04:10.000+01:00","10","0.046","0.39","4","9","219"
"2023-02-20T09:04:20.000+01:00","10","0.046","0.4","4","9","219"
"2023-02-20T09:04:30.000+01:00","10","0.046","0.39","4","9","219"
"2023-02-20T09:04:40.000+01:00","10","0.046","0.38","4","9","219"
"2023-02-20T09:04:50.000+01:00","10","0.046","0.38","4","9","218"
"2023-02-20T09:05:00.000+01:00","10","0.046","0.39","4","9","218"
"2023-02-20T09:05:10.000+01:00","10","0.046","0.38","4","9","218"
"2023-02-20T09:05:20.000+01:00","10","0.046","0.41","4","9","219"
"2023-02-20T09:05:30.000+01:00","10","0.046","0.41","4","9","219"
"2023-02-20T09:05:40.000+01:00","10","0.046","0.4","4","9","218"
"2023-02-20T09:05:50.000+01:00","10","0.046","0.4","4","9","218"
"2023-02-20T09:06:00.000+01:00","10","0.046","0.39","4","9","218"
"2023-02-20T09:06:10.000+01:00","10","0.046","0.4","4","9","218"
"2023-02-20T09:06:20.000+01:00","10","0.046","0.39","4","9","218"
"2023-02-20T09:06:30.000+01:00","10","0.046","0.38","4","9","218"
"2023-02-20T09:06:40.000+01:00","10","0.046","0.38","4","9","218"
"2023-02-20T09:06:50.000+01:00","10","0.046","0.41","4","9","218"
"2023-02-20T09:07:00.000+01:00","10","0.046","0.4","4","9","219"
"2023-02-20T09:07:10.000+01:00","10","0.046","0.38","4","9","219"
"2023-02-20T09:07:20.000+01:00","10","0.045","0.41","4","9","218"
"2023-02-20T09:07:30.000+01:00","10","0.047","0.41","4","9","219"
"2023-02-20T09:07:40.000+01:00","10","0.046","0.39","4","9","218"
"2023-02-20T09:07:50.000+01:00","10","0.046","0.4","4","9","219"
"2023-02-20T09:08:00.000+01:00","10","0.045","0.4","4","9","219"
"2023-02-20T09:08:10.000+01:00","10","0.046","0.38","4","9","219"
"2023-02-20T09:08:20.000+01:00","10","0.046","0.39","4","9","219"
"2023-02-20T09:08:30.000+01:00","10","0.047","0.37","4","10","219"
"2023-02-20T09:08:40.000+01:00","10","0.046","0.38","4","9","219"
"2023-02-20T09:08:50.000+01:00","10","0.047","0.38","4","10","219"
"2023-02-20T09:09:00.000+01:00","10","0.046","0.38","4","9","219"
"2023-02-20T09:09:10.000+01:00","10","0.046","0.39","4","9","219"
"2023-02-20T09:09:20.000+01:00","10","0.046","0.39","4","9","219"
"2023-02-20T09:09:30.000+01:00","10","0.046","0.39","4","9","219"
