"time","Power"
"2023-04-10T00:00:00.000+02:00","172"
"2023-04-10T00:00:10.000+02:00","173"
"2023-04-10T00:00:20.000+02:00","170"
"2023-04-10T00:00:30.000+02:00","176"
"2023-04-10T00:00:40.000+02:00","178"
"2023-04-10T00:00:50.000+02:00","168"
"2023-04-10T00:01:00.000+02:00","165"
"2023-04-10T00:01:10.000+02:00","158"
"2023-04-10T00:01:20.000+02:00","169"
"2023-04-10T00:01:30.000+02:00","164"
"2023-04-10T00:01:40.000+02:00","160"
"2023-04-10T00:01:50.000+02:00","167"
"2023-04-10T00:02:00.000+02:00","167"
"2023-04-10T00:02:10.000+02:00","166"
"2023-04-10T00:02:20.000+02:00","168"
"2023-04-10T00:02:30.000+02:00","176"
"2023-04-10T00:02:40.000+02:00","178"
"2023-04-10T00:02:50.000+02:00","210"
"2023-04-10T00:03:00.000+02:00","240"
"2023-04-10T00:03:10.000+02:00","249"
"2023-04-10T00:03:20.000+02:00","253"
"2023-04-10T00:03:30.000+02:00","259"
"2023-04-10T00:03:40.000+02:00","256"
"2023-04-10T00:03:50.000+02:00","247"
"2023-04-10T00:04:00.000+02:00","253"
"2023-04-10T00:04:10.000+02:00","196"
"2023-04-10T00:04:20.000+02:00","224"
"2023-04-10T00:04:30.000+02:00","180"
"2023-04-10T00:04:40.000+02:00","188"
"2023-04-10T00:04:50.000+02:00","224"
"2023-04-10T00:05:00.000+02:00","225"
"2023-04-10T00:05:10.000+02:00","190"
"2023-04-10T00:05:20.000+02:00","186"
"2023-04-10T00:05:30.000+02:00","192"
"2023-04-10T00:05:40.000+02:00","190"
"2023-04-10T00:05:50.000+02:00","200"
"2023-04-10T00:06:00.000+02:00","205"
"2023-04-10T00:06:10.000+02:00","219"
"2023-04-10T00:06:20.000+02:00","198"
"2023-04-10T00:06:30.000+02:00","222"
"2023-04-10T00:06:40.000+02:00","177"
"2023-04-10T00:06:50.000+02:00","177"
"2023-04-10T00:07:00.000+02:00","174"
