relay,temperature,overtemperature,energy,power,plug
on,25.29,0,518,2.19,Shelly5
on,25.29,0,518,2.19,Shelly5
on,25.04,0,518,2.18,Shelly5
on,25.04,0,518,2.18,Shelly5
on,24.73,0,518,2.12,Shelly5
on,24.73,0,518,2.12,Shelly5
on,24.62,0,520,2.08,Shelly5
on,24.62,0,520,2.08,Shelly5
on,25.04,0,520,2.1,Shelly5
on,25.04,0,520,2.1,Shelly5
on,24.77,0,520,2.18,Shelly5
on,24.77,0,520,2.18,Shelly5
on,24.66,0,522,2.08,Shelly5
on,24.66,0,522,2.08,Shelly5
on,24.59,0,522,2.1,Shelly5
on,24.59,0,522,2.1,Shelly5
on,24.99,0,522,2.07,Shelly5
on,24.99,0,522,2.07,Shelly5
on,24.88,0,524,2.15,Shelly5
on,24.88,0,524,2.15,Shelly5
on,24.92,0,524,2.04,Shelly5
on,24.92,0,524,2.04,Shelly5
on,25.1,0,524,2.08,Shelly5
on,25.1,0,524,2.08,Shelly5
on,25.35,0,526,2.01,Shelly5
on,25.35,0,526,2.01,Shelly5
on,24.88,0,526,2.13,Shelly5
on,24.88,0,526,2.13,Shelly5
on,24.77,0,526,2.09,Shelly5
on,24.77,0,526,2.09,Shelly5
on,24.92,0,528,2.04,Shelly5
on,24.92,0,528,2.04,Shelly5
on,24.95,0,528,2.1,Shelly5
on,24.95,0,528,2.1,Shelly5
on,24.59,0,528,2.07,Shelly5
on,24.59,0,528,2.07,Shelly5
on,24.84,0,530,2.08,Shelly5
on,24.84,0,530,2.08,Shelly5
on,24.73,0,530,2.19,Shelly5
on,24.73,0,530,2.19,Shelly5
on,24.73,0,530,2.16,Shelly5
on,24.73,0,530,2.16,Shelly5
on,24.59,0,532,2.05,Shelly5
on,24.59,0,532,2.05,Shelly5
on,25.1,0,532,2.29,Shelly5
on,25.1,0,532,2.29,Shelly5
on,25.47,0,532,2.13,Shelly5
on,25.47,0,532,2.13,Shelly5
on,24.99,0,535,2.1,Shelly5
on,24.99,0,535,2.1,Shelly5
on,24.92,0,535,2.12,Shelly5
on,24.92,0,535,2.12,Shelly5
on,24.7,0,535,2.09,Shelly5
on,24.7,0,535,2.09,Shelly5
on,24.62,0,537,2.14,Shelly5
on,24.62,0,537,2.14,Shelly5
on,24.88,0,537,2.01,Shelly5
on,24.88,0,537,2.01,Shelly5
on,24.84,0,537,2.05,Shelly5
on,24.84,0,537,2.05,Shelly5
on,24.84,0,539,2.11,Shelly5
on,24.84,0,539,2.11,Shelly5
on,24.84,0,539,2.14,Shelly5
on,24.84,0,539,2.14,Shelly5
on,24.92,0,539,2.19,Shelly5
on,24.92,0,539,2.19,Shelly5
on,25.1,0,541,2.1,Shelly5
on,25.1,0,541,2.1,Shelly5
on,25.17,0,541,2.09,Shelly5
on,25.17,0,541,2.09,Shelly5
on,25.04,0,541,2.09,Shelly5
on,25.04,0,541,2.09,Shelly5
on,24.95,0,543,2.16,Shelly5
on,24.95,0,543,2.16,Shelly5
on,24.7,0,543,2.13,Shelly5
on,24.7,0,543,2.13,Shelly5
on,24.7,0,543,2.15,Shelly5
on,24.7,0,543,2.15,Shelly5
on,24.95,0,545,2.03,Shelly5
on,24.95,0,545,2.03,Shelly5
on,24.88,0,545,2.1,Shelly5
on,24.88,0,545,2.1,Shelly5
on,24.66,0,545,2.24,Shelly5
on,24.66,0,545,2.24,Shelly5
on,24.92,0,547,2.12,Shelly5
on,24.92,0,547,2.12,Shelly5
on,24.59,0,547,2.16,Shelly5
on,24.59,0,547,2.16,Shelly5
on,25.04,0,547,2.02,Shelly5
on,25.04,0,547,2.02,Shelly5
on,24.99,0,549,2.11,Shelly5
on,24.99,0,549,2.11,Shelly5
on,24.73,0,549,2.13,Shelly5
on,24.73,0,549,2.13,Shelly5
on,24.88,0,549,2.15,Shelly5
on,24.88,0,549,2.15,Shelly5
on,24.99,0,552,2.16,Shelly5
on,24.99,0,552,2.16,Shelly5
on,24.59,0,552,2.16,Shelly5
on,24.59,0,552,2.16,Shelly5
on,24.95,0,552,2.14,Shelly5
on,24.95,0,552,2.14,Shelly5
on,24.95,0,554,2.27,Shelly5
on,24.95,0,554,2.27,Shelly5
on,24.55,0,554,2.12,Shelly5
on,24.55,0,554,2.12,Shelly5
on,24.66,0,554,1.97,Shelly5
on,24.66,0,554,1.97,Shelly5
on,24.73,0,556,2.1,Shelly5
on,24.73,0,556,2.1,Shelly5
on,25.23,0,556,2.11,Shelly5
on,25.23,0,556,2.11,Shelly5
on,25.17,0,556,2.23,Shelly5
on,25.17,0,556,2.23,Shelly5
on,24.99,0,558,2.18,Shelly5
on,24.99,0,558,2.18,Shelly5
on,24.77,0,558,2.17,Shelly5
on,24.77,0,558,2.17,Shelly5
on,24.99,0,558,2.12,Shelly5
on,24.99,0,558,2.12,Shelly5
on,25.1,0,560,2.06,Shelly5
on,25.1,0,560,2.06,Shelly5
on,24.7,0,560,2.06,Shelly5
on,24.7,0,560,2.06,Shelly5
on,24.84,0,560,2.06,Shelly5
on,24.84,0,560,2.06,Shelly5
on,24.99,0,562,2.22,Shelly5
on,24.99,0,562,2.22,Shelly5
on,24.92,0,562,2.03,Shelly5
on,24.92,0,562,2.03,Shelly5
on,24.88,0,562,2.22,Shelly5
on,24.88,0,562,2.22,Shelly5
on,25.04,0,564,2.04,Shelly5
on,25.04,0,564,2.04,Shelly5
on,24.95,0,564,2.16,Shelly5
on,24.95,0,564,2.16,Shelly5
on,24.95,0,564,2.09,Shelly5
on,24.95,0,564,2.09,Shelly5
on,24.73,0,566,2.12,Shelly5
on,24.73,0,566,2.12,Shelly5
on,24.62,0,566,2.14,Shelly5
on,24.62,0,566,2.14,Shelly5
on,24.92,0,566,2.17,Shelly5
on,24.92,0,566,2.17,Shelly5
on,24.7,0,569,2.16,Shelly5
on,24.7,0,569,2.16,Shelly5
on,24.55,0,569,2.14,Shelly5
on,24.55,0,569,2.14,Shelly5
on,24.84,0,569,2.14,Shelly5
on,24.84,0,569,2.14,Shelly5
on,24.99,0,571,2.05,Shelly5
on,24.99,0,571,2.05,Shelly5
on,24.73,0,571,2.16,Shelly5
on,24.73,0,571,2.16,Shelly5
on,24.77,0,571,2.14,Shelly5
on,24.77,0,571,2.14,Shelly5
on,25.17,0,573,2.01,Shelly5
on,25.17,0,573,2.01,Shelly5
on,25.04,0,573,2.02,Shelly5
on,25.04,0,573,2.02,Shelly5
on,25.04,0,573,2.09,Shelly5
on,25.04,0,573,2.09,Shelly5
on,24.7,0,575,2.12,Shelly5
on,24.7,0,575,2.12,Shelly5
on,24.92,0,575,2.11,Shelly5
on,24.92,0,575,2.11,Shelly5
on,24.88,0,575,2.22,Shelly5
on,24.88,0,575,2.22,Shelly5
on,24.92,0,577,2.09,Shelly5
on,24.92,0,577,2.09,Shelly5
on,24.88,0,577,2.16,Shelly5
on,24.88,0,577,2.16,Shelly5
on,24.92,0,577,2.21,Shelly5
on,24.92,0,577,2.21,Shelly5
on,24.51,0,579,2.18,Shelly5
on,24.51,0,579,2.18,Shelly5
on,25.23,0,579,2.06,Shelly5
on,25.23,0,579,2.06,Shelly5
on,25.47,0,579,2.08,Shelly5
on,25.47,0,579,2.08,Shelly5
on,24.77,0,581,2.12,Shelly5
on,24.77,0,581,2.12,Shelly5
on,24.92,0,581,2.12,Shelly5
on,24.92,0,581,2.12,Shelly5
on,24.95,0,581,2.2,Shelly5
on,24.95,0,581,2.2,Shelly5
on,24.62,0,583,2.15,Shelly5
on,24.62,0,583,2.15,Shelly5
on,24.59,0,583,2.04,Shelly5
on,24.59,0,583,2.04,Shelly5
on,24.95,0,583,2.2,Shelly5
on,24.95,0,583,2.2,Shelly5
on,24.92,0,586,2.1,Shelly5
on,24.92,0,586,2.1,Shelly5
on,24.66,0,586,2.09,Shelly5
on,24.66,0,586,2.09,Shelly5
on,24.51,0,586,2.06,Shelly5
on,24.51,0,586,2.06,Shelly5
on,25.1,0,588,2.1,Shelly5
on,25.1,0,588,2.1,Shelly5
on,24.88,0,588,2.12,Shelly5
on,24.88,0,588,2.12,Shelly5
on,24.84,0,588,2.1,Shelly5
on,24.84,0,588,2.1,Shelly5
on,25.1,0,590,2.14,Shelly5
on,25.1,0,590,2.14,Shelly5
on,24.84,0,590,2.18,Shelly5
on,24.84,0,590,2.18,Shelly5
on,24.92,0,590,2.04,Shelly5
on,24.92,0,590,2.04,Shelly5
on,24.66,0,592,2.18,Shelly5
on,24.66,0,592,2.18,Shelly5
on,24.55,0,592,2.03,Shelly5
on,24.55,0,592,2.03,Shelly5
on,24.73,0,592,2.17,Shelly5
on,24.73,0,592,2.17,Shelly5
on,24.73,0,594,2.01,Shelly5
on,24.73,0,594,2.01,Shelly5
on,24.7,0,594,2.13,Shelly5
on,24.7,0,594,2.13,Shelly5
on,24.84,0,594,2.14,Shelly5
on,24.84,0,594,2.14,Shelly5
on,25.04,0,596,2.2,Shelly5
on,25.04,0,596,2.2,Shelly5
on,24.99,0,596,2.01,Shelly5
on,24.99,0,596,2.01,Shelly5
on,24.73,0,596,2.06,Shelly5
on,24.73,0,596,2.06,Shelly5
on,24.84,0,598,2.11,Shelly5
