relay,temperature,overtemperature,energy,power
1,31.05,0,32,0
1,31.05,0,32,0
1,30.77,0,32,0
1,30.77,0,32,0
1,30.65,0,32,0
1,30.65,0,32,0
1,30.65,0,32,0
1,30.65,0,32,0
1,30.15,0,32,0
1,30.15,0,32,0
1,30.43,0,32,0
1,30.43,0,32,0
1,30.43,0,32,0
1,30.43,0,32,0
1,30.03,0,32,0
1,30.03,0,32,0
1,30.03,0,32,0
1,30.03,0,32,0
1,29.98,0,32,0
1,29.98,0,32,0
1,30.43,0,32,0
1,30.43,0,32,0
1,30.82,0,32,0
1,30.82,0,32,0
1,30.93,0,32,0
1,30.93,0,32,0
1,30.77,0,32,0
1,30.77,0,32,0
1,30.6,0,32,0
1,30.6,0,32,0
1,30.54,0,32,0
1,30.54,0,32,0
1,30.43,0,32,0
1,30.43,0,32,0
1,30.15,0,32,0
1,30.15,0,32,0
1,29.92,0,32,0
1,29.92,0,32,0
1,30.54,0,32,0
1,30.54,0,32,0
1,30.54,0,32,0
1,30.54,0,32,0
1,30.49,0,32,0
1,30.49,0,32,0
1,30.93,0,32,0
1,30.93,0,32,0
1,30.77,0,32,0
1,30.77,0,32,0
1,30.65,0,32,0
1,30.65,0,32,0
1,30.65,0,32,0
1,30.65,0,32,0
1,30.09,0,32,0
1,30.09,0,32,0
1,30.43,0,32,0
1,30.43,0,32,0
1,30.88,0,32,0
1,30.88,0,32,0
1,30.6,0,32,0
1,30.6,0,32,0
1,30.43,0,32,0
1,30.43,0,32,0
1,30.43,0,32,5.61
1,30.43,0,32,5.61
1,30.49,0,32,3.53
1,30.49,0,32,3.53
1,30.93,0,32,0
1,30.93,0,32,0
1,30.88,0,32,0
1,30.88,0,32,0
1,30.71,0,32,0
1,30.71,0,32,0
1,30.54,0,32,0
1,30.54,0,32,0
1,30.54,0,32,0
1,30.54,0,32,0
1,30.49,0,32,0
1,30.49,0,32,0
1,30.49,0,32,0
1,30.49,0,32,0
1,30.37,0,32,0
1,30.37,0,32,0
1,30.43,0,32,0
1,30.43,0,32,0
1,30.09,0,32,0
1,30.09,0,32,0
1,30.43,0,32,0
1,30.43,0,32,0
1,30.93,0,32,0
1,30.93,0,32,0
1,30.77,0,32,0
1,30.77,0,32,0
1,30.65,0,32,0
1,30.65,0,32,0
1,30.54,0,32,0
1,30.54,0,32,0
1,30.2,0,32,0
1,30.2,0,32,0
1,30.6,0,32,0
1,30.6,0,32,0
1,30.54,0,32,0
1,30.54,0,32,0
1,30.49,0,34,0
1,30.49,0,34,0
