"time","ApparentPower","Current","Power","ReactivePower"
"2023-03-16T08:29:00.000+01:00","5","0.021","5","0"
"2023-03-16T08:29:10.000+01:00","106","0.486","106","0"
"2023-03-16T08:29:20.000+01:00","102","0.469","99","25"
"2023-03-16T08:29:30.000+01:00","105","0.482","103","18"
"2023-03-16T08:29:40.000+01:00","105","0.482","101","26"
"2023-03-16T08:29:50.000+01:00","106","0.487","103","22"
"2023-03-16T08:30:00.000+01:00","92","0.424","92","0"
"2023-03-16T08:30:10.000+01:00","93","0.428","68","64"
"2023-03-16T08:30:20.000+01:00","91","0.418","76","49"
"2023-03-16T08:30:30.000+01:00","75","0.347","75","0"
"2023-03-16T08:30:40.000+01:00","64","0.297","64","0"
"2023-03-16T08:30:50.000+01:00","92","0.422","60","69"
"2023-03-16T08:31:00.000+01:00","74","0.341","74","0"
"2023-03-16T08:31:10.000+01:00","84","0.385","54","64"
"2023-03-16T08:31:20.000+01:00","91","0.417","83","35"
"2023-03-16T08:31:30.000+01:00","70","0.325","67","20"
"2023-03-16T08:31:40.000+01:00","70","0.322","67","20"
"2023-03-16T08:31:50.000+01:00","109","0.502","109","0"
"2023-03-16T08:32:00.000+01:00","78","0.359","78","0"
"2023-03-16T08:32:10.000+01:00","103","0.476","92","47"
"2023-03-16T08:32:20.000+01:00","87","0.403","83","29"
"2023-03-16T08:32:30.000+01:00","88","0.407","75","46"
"2023-03-16T08:32:40.000+01:00","49","0.226","41","27"
"2023-03-16T08:32:50.000+01:00","57","0.264","38","43"
"2023-03-16T08:33:00.000+01:00","72","0.332","72","0"
"2023-03-16T08:33:10.000+01:00","65","0.299","65","0"
"2023-03-16T08:33:20.000+01:00","78","0.358","52","58"
"2023-03-16T08:33:30.000+01:00","81","0.375","69","44"
"2023-03-16T08:33:40.000+01:00","71","0.329","40","59"
"2023-03-16T08:33:50.000+01:00","88","0.407","87","16"
"2023-03-16T08:34:00.000+01:00","64","0.298","43","48"
"2023-03-16T08:34:10.000+01:00","84","0.388","73","41"
"2023-03-16T08:34:20.000+01:00","72","0.334","71","12"
"2023-03-16T08:34:30.000+01:00","63","0.292","57","28"
"2023-03-16T08:34:40.000+01:00","91","0.422","65","65"
"2023-03-16T08:34:50.000+01:00","54","0.251","37","40"
"2023-03-16T08:35:00.000+01:00","45","0.21","36","28"
"2023-03-16T08:35:10.000+01:00","74","0.343","74","0"
"2023-03-16T08:35:20.000+01:00","56","0.26","45","34"
"2023-03-16T08:35:30.000+01:00","69","0.32","69","0"
"2023-03-16T08:35:40.000+01:00","64","0.298","57","30"
"2023-03-16T08:35:50.000+01:00","87","0.404","70","52"
"2023-03-16T08:36:00.000+01:00","71","0.329","71","0"
"2023-03-16T08:36:10.000+01:00","53","0.246","46","27"
"2023-03-16T08:36:20.000+01:00","61","0.284","45","42"
"2023-03-16T08:36:30.000+01:00","66","0.307","66","0"
"2023-03-16T08:36:40.000+01:00","60","0.278","60","0"
"2023-03-16T08:36:50.000+01:00","64","0.294","49","40"
"2023-03-16T08:37:00.000+01:00","69","0.317","56","40"
"2023-03-16T08:37:10.000+01:00","52","0.239","52","0"
"2023-03-16T08:37:20.000+01:00","71","0.327","51","49"
"2023-03-16T08:37:30.000+01:00","53","0.244","48","21"
"2023-03-16T08:37:40.000+01:00","63","0.292","44","45"
"2023-03-16T08:37:50.000+01:00","73","0.339","44","59"
