"time","ApparentPower","Current","Power","ReactivePower"
"2023-03-15T11:10:50.000+01:00","42","0.159","18","38"
"2023-03-15T11:11:00.000+01:00","42","0.159","18","38"
"2023-03-15T11:11:10.000+01:00","42","0.16","18","38"
"2023-03-15T11:11:20.000+01:00","41","0.158","18","37"
"2023-03-15T11:11:30.000+01:00","41","0.158","18","37"
"2023-03-15T11:11:40.000+01:00","41","0.158","18","37"
"2023-03-15T11:11:50.000+01:00","41","0.156","18","37"
"2023-03-15T11:12:00.000+01:00","41","0.158","18","37"
"2023-03-15T11:12:10.000+01:00","41","0.159","18","37"
"2023-03-15T11:12:20.000+01:00","40","0.155","18","36"
"2023-03-15T11:12:30.000+01:00","40","0.155","18","36"
"2023-03-15T11:12:40.000+01:00","41","0.156","18","37"
"2023-03-15T11:12:50.000+01:00","41","0.158","18","37"
"2023-03-15T11:13:00.000+01:00","41","0.156","18","37"
"2023-03-15T11:13:10.000+01:00","40","0.155","18","36"
"2023-03-15T11:13:20.000+01:00","40","0.155","18","36"
"2023-03-15T11:13:30.000+01:00","40","0.154","18","36"
"2023-03-15T11:13:40.000+01:00","40","0.154","18","36"
"2023-03-15T11:13:50.000+01:00","40","0.154","18","36"
"2023-03-15T11:14:00.000+01:00","40","0.154","18","36"
"2023-03-15T11:14:10.000+01:00","41","0.155","18","36"
"2023-03-15T11:14:20.000+01:00","41","0.156","18","37"
"2023-03-15T11:14:30.000+01:00","41","0.158","18","37"
"2023-03-15T11:14:40.000+01:00","41","0.157","18","37"
"2023-03-15T11:14:50.000+01:00","41","0.157","18","37"
"2023-03-15T11:15:00.000+01:00","41","0.157","18","37"
"2023-03-15T11:15:10.000+01:00","41","0.157","18","37"
"2023-03-15T11:15:20.000+01:00","41","0.159","18","37"
"2023-03-15T11:15:30.000+01:00","41","0.157","18","37"
"2023-03-15T11:15:40.000+01:00","41","0.158","18","37"
"2023-03-15T11:15:50.000+01:00","41","0.158","18","37"
"2023-03-15T11:16:00.000+01:00","41","0.156","18","36"
"2023-03-15T11:16:10.000+01:00","40","0.155","18","36"
"2023-03-15T11:16:20.000+01:00","41","0.156","18","37"
"2023-03-15T11:16:30.000+01:00","41","0.156","18","36"
"2023-03-15T11:16:40.000+01:00","41","0.159","18","37"
"2023-03-15T11:16:50.000+01:00","41","0.158","18","37"
"2023-03-15T11:17:00.000+01:00","42","0.16","18","38"
"2023-03-15T11:17:10.000+01:00","42","0.16","18","38"
"2023-03-15T11:17:20.000+01:00","41","0.159","18","38"
"2023-03-15T11:17:30.000+01:00","41","0.159","18","38"
"2023-03-15T11:17:40.000+01:00","41","0.158","18","37"
"2023-03-15T11:17:50.000+01:00","41","0.158","18","37"
"2023-03-15T11:18:00.000+01:00","11","0.041","11","0"
"2023-03-15T11:18:10.000+01:00","39","0.151","17","36"
"2023-03-15T11:18:20.000+01:00","41","0.157","18","37"
"2023-03-15T11:18:30.000+01:00","41","0.158","18","37"
"2023-03-15T11:18:40.000+01:00","41","0.159","18","37"
"2023-03-15T11:18:50.000+01:00","41","0.158","18","37"
"2023-03-15T11:19:00.000+01:00","41","0.159","18","37"
"2023-03-15T11:19:10.000+01:00","42","0.16","18","38"
"2023-03-15T11:19:20.000+01:00","41","0.158","18","37"
"2023-03-15T11:19:30.000+01:00","41","0.157","18","37"
"2023-03-15T11:19:40.000+01:00","41","0.158","18","37"
"2023-03-15T11:19:50.000+01:00","41","0.157","18","37"
"2023-03-15T11:20:00.000+01:00","41","0.159","18","37"
"2023-03-15T11:20:10.000+01:00","41","0.159","18","37"
"2023-03-15T11:20:20.000+01:00","41","0.159","18","37"
"2023-03-15T11:20:30.000+01:00","41","0.158","18","37"
"2023-03-15T11:20:40.000+01:00","41","0.159","18","37"
"2023-03-15T11:20:50.000+01:00","41","0.158","18","37"
"2023-03-15T11:21:00.000+01:00","42","0.159","18","38"
"2023-03-15T11:21:10.000+01:00","41","0.158","18","37"
"2023-03-15T11:21:20.000+01:00","41","0.156","18","37"
"2023-03-15T11:21:30.000+01:00","41","0.157","18","37"
"2023-03-15T11:21:40.000+01:00","41","0.159","18","38"
"2023-03-15T11:21:50.000+01:00","42","0.159","18","37"
"2023-03-15T11:22:00.000+01:00","41","0.157","18","37"
"2023-03-15T11:22:10.000+01:00","41","0.156","18","37"
"2023-03-15T11:22:20.000+01:00","41","0.156","18","37"
"2023-03-15T11:22:30.000+01:00","40","0.154","18","36"
"2023-03-15T11:22:40.000+01:00","40","0.154","18","36"
"2023-03-15T11:22:50.000+01:00","40","0.154","18","36"
"2023-03-15T11:23:00.000+01:00","41","0.155","18","36"
"2023-03-15T11:23:10.000+01:00","40","0.153","18","36"
"2023-03-15T11:23:20.000+01:00","40","0.154","18","36"
"2023-03-15T11:23:30.000+01:00","40","0.153","18","36"
"2023-03-15T11:23:40.000+01:00","40","0.155","18","36"
"2023-03-15T11:23:50.000+01:00","40","0.155","18","36"
"2023-03-15T11:24:00.000+01:00","40","0.154","18","36"
"2023-03-15T11:24:10.000+01:00","41","0.155","18","36"
"2023-03-15T11:24:20.000+01:00","40","0.154","18","36"
"2023-03-15T11:24:30.000+01:00","41","0.155","18","36"
"2023-03-15T11:24:40.000+01:00","41","0.155","18","36"
"2023-03-15T11:24:50.000+01:00","41","0.155","18","37"
"2023-03-15T11:25:00.000+01:00","41","0.156","18","37"
"2023-03-15T11:25:10.000+01:00","40","0.154","18","36"
"2023-03-15T11:25:20.000+01:00","40","0.153","18","36"
"2023-03-15T11:25:30.000+01:00","41","0.157","18","37"
"2023-03-15T11:25:40.000+01:00","41","0.156","18","37"
"2023-03-15T11:25:50.000+01:00","41","0.157","18","37"
"2023-03-15T11:26:00.000+01:00","41","0.157","18","37"
"2023-03-15T11:26:10.000+01:00","40","0.155","18","36"
"2023-03-15T11:26:20.000+01:00","41","0.156","18","37"
"2023-03-15T11:26:30.000+01:00","41","0.156","18","37"
"2023-03-15T11:26:40.000+01:00","41","0.156","18","37"
"2023-03-15T11:26:50.000+01:00","41","0.158","18","37"
"2023-03-15T11:27:00.000+01:00","41","0.157","18","37"
"2023-03-15T11:27:10.000+01:00","41","0.157","18","37"
"2023-03-15T11:27:20.000+01:00","41","0.158","18","37"
"2023-03-15T11:27:30.000+01:00","41","0.158","18","37"
"2023-03-15T11:27:40.000+01:00","41","0.157","18","37"
"2023-03-15T11:27:50.000+01:00","41","0.158","18","37"
"2023-03-15T11:28:00.000+01:00","41","0.157","18","37"
"2023-03-15T11:28:10.000+01:00","41","0.157","18","37"
"2023-03-15T11:28:20.000+01:00","41","0.156","18","37"
"2023-03-15T11:28:30.000+01:00","41","0.157","18","37"
"2023-03-15T11:28:40.000+01:00","41","0.157","18","37"
"2023-03-15T11:28:50.000+01:00","41","0.158","18","37"
"2023-03-15T11:29:00.000+01:00","41","0.157","18","37"
"2023-03-15T11:29:10.000+01:00","41","0.155","18","36"
"2023-03-15T11:29:20.000+01:00","41","0.156","18","37"
"2023-03-15T11:29:30.000+01:00","40","0.155","18","36"
"2023-03-15T11:29:40.000+01:00","40","0.154","18","36"
"2023-03-15T11:29:50.000+01:00","40","0.155","18","36"
"2023-03-15T11:30:00.000+01:00","40","0.155","18","36"
"2023-03-15T11:30:10.000+01:00","41","0.156","18","37"
"2023-03-15T11:30:20.000+01:00","41","0.156","18","37"
"2023-03-15T11:30:30.000+01:00","41","0.157","18","37"
"2023-03-15T11:30:40.000+01:00","41","0.156","18","36"
"2023-03-15T11:30:50.000+01:00","40","0.155","18","36"
"2023-03-15T11:31:00.000+01:00","41","0.156","18","37"
"2023-03-15T11:31:10.000+01:00","41","0.155","18","37"
"2023-03-15T11:31:20.000+01:00","41","0.155","18","36"
"2023-03-15T11:31:30.000+01:00","41","0.155","18","36"
"2023-03-15T11:31:40.000+01:00","40","0.154","18","36"
"2023-03-15T11:31:50.000+01:00","40","0.154","18","36"
"2023-03-15T11:32:00.000+01:00","41","0.155","18","36"
"2023-03-15T11:32:10.000+01:00","41","0.155","18","36"
"2023-03-15T11:32:20.000+01:00","41","0.155","18","36"
"2023-03-15T11:32:30.000+01:00","41","0.155","18","36"
"2023-03-15T11:32:40.000+01:00","41","0.155","18","36"
"2023-03-15T11:32:50.000+01:00","40","0.154","18","36"
"2023-03-15T11:33:00.000+01:00","40","0.153","18","36"
"2023-03-15T11:33:10.000+01:00","40","0.154","18","36"
"2023-03-15T11:33:20.000+01:00","41","0.156","18","37"
"2023-03-15T11:33:30.000+01:00","41","0.155","18","37"
"2023-03-15T11:33:40.000+01:00","41","0.156","18","37"
"2023-03-15T11:33:50.000+01:00","40","0.154","18","36"
"2023-03-15T11:34:00.000+01:00","41","0.155","18","36"
"2023-03-15T11:34:10.000+01:00","41","0.155","18","37"
"2023-03-15T11:34:20.000+01:00","41","0.155","18","36"
"2023-03-15T11:34:30.000+01:00","41","0.155","18","37"
"2023-03-15T11:34:40.000+01:00","40","0.154","18","36"
"2023-03-15T11:34:50.000+01:00","40","0.153","17","36"
"2023-03-15T11:35:00.000+01:00","10","0.037","5","8"
"2023-03-15T11:35:10.000+01:00","39","0.148","17","35"
"2023-03-15T11:35:20.000+01:00","40","0.153","18","36"
"2023-03-15T11:35:30.000+01:00","40","0.152","18","36"
"2023-03-15T11:35:40.000+01:00","41","0.155","18","36"
"2023-03-15T11:35:50.000+01:00","41","0.155","18","36"
"2023-03-15T11:36:00.000+01:00","41","0.155","18","36"
"2023-03-15T11:36:10.000+01:00","41","0.155","18","36"
"2023-03-15T11:36:20.000+01:00","41","0.155","18","37"
"2023-03-15T11:36:30.000+01:00","41","0.155","18","36"
"2023-03-15T11:36:40.000+01:00","41","0.157","18","37"
"2023-03-15T11:36:50.000+01:00","41","0.155","19","36"
"2023-03-15T11:37:00.000+01:00","41","0.156","18","37"
"2023-03-15T11:37:10.000+01:00","41","0.155","18","36"
"2023-03-15T11:37:20.000+01:00","41","0.155","18","36"
"2023-03-15T11:37:30.000+01:00","41","0.155","18","36"
"2023-03-15T11:37:40.000+01:00","41","0.155","18","36"
"2023-03-15T11:37:50.000+01:00","40","0.154","18","36"
"2023-03-15T11:38:00.000+01:00","41","0.155","18","36"
"2023-03-15T11:38:10.000+01:00","41","0.156","18","37"
"2023-03-15T11:38:20.000+01:00","41","0.156","18","37"
"2023-03-15T11:38:30.000+01:00","41","0.156","18","37"
"2023-03-15T11:38:40.000+01:00","41","0.157","18","37"
"2023-03-15T11:38:50.000+01:00","41","0.157","18","37"
"2023-03-15T11:39:00.000+01:00","41","0.157","18","37"
"2023-03-15T11:39:10.000+01:00","41","0.157","18","37"
"2023-03-15T11:39:20.000+01:00","41","0.156","18","37"
"2023-03-15T11:39:30.000+01:00","41","0.155","18","36"
"2023-03-15T11:39:40.000+01:00","41","0.157","18","37"
"2023-03-15T11:39:50.000+01:00","41","0.157","18","37"
"2023-03-15T11:40:00.000+01:00","41","0.157","18","37"
"2023-03-15T11:40:10.000+01:00","40","0.155","18","36"
"2023-03-15T11:40:20.000+01:00","41","0.157","18","37"
"2023-03-15T11:40:30.000+01:00","41","0.155","18","37"
"2023-03-15T11:40:40.000+01:00","41","0.157","18","37"
"2023-03-15T11:40:50.000+01:00","41","0.156","18","37"
"2023-03-15T11:41:00.000+01:00","41","0.156","18","37"
"2023-03-15T11:41:10.000+01:00","41","0.156","18","37"
"2023-03-15T11:41:20.000+01:00","41","0.156","18","37"
"2023-03-15T11:41:30.000+01:00","40","0.155","18","36"
"2023-03-15T11:41:40.000+01:00","40","0.155","18","36"
"2023-03-15T11:41:50.000+01:00","41","0.157","18","37"
"2023-03-15T11:42:00.000+01:00","41","0.156","18","37"
"2023-03-15T11:42:10.000+01:00","41","0.156","18","37"
"2023-03-15T11:42:20.000+01:00","41","0.157","18","37"
"2023-03-15T11:42:30.000+01:00","41","0.156","18","37"
"2023-03-15T11:42:40.000+01:00","41","0.156","18","37"
"2023-03-15T11:42:50.000+01:00","40","0.155","18","36"
"2023-03-15T11:43:00.000+01:00","40","0.155","18","36"
"2023-03-15T11:43:10.000+01:00","41","0.156","18","36"
"2023-03-15T11:43:20.000+01:00","40","0.154","18","36"
"2023-03-15T11:43:30.000+01:00","41","0.156","18","37"
"2023-03-15T11:43:40.000+01:00","41","0.156","18","37"
"2023-03-15T11:43:50.000+01:00","40","0.155","18","36"
"2023-03-15T11:44:00.000+01:00","40","0.155","18","36"
"2023-03-15T11:44:10.000+01:00","41","0.156","18","37"
"2023-03-15T11:44:20.000+01:00","41","0.156","18","37"
"2023-03-15T11:44:30.000+01:00","41","0.156","18","37"
"2023-03-15T11:44:40.000+01:00","41","0.156","18","37"
"2023-03-15T11:44:50.000+01:00","41","0.155","18","36"
"2023-03-15T11:45:00.000+01:00","41","0.155","18","37"
"2023-03-15T11:45:10.000+01:00","40","0.154","18","36"
"2023-03-15T11:45:20.000+01:00","41","0.155","18","36"
"2023-03-15T11:45:30.000+01:00","41","0.156","18","37"
"2023-03-15T11:45:40.000+01:00","41","0.158","18","37"
"2023-03-15T11:45:50.000+01:00","41","0.157","18","37"
"2023-03-15T11:46:00.000+01:00","42","0.159","18","38"
"2023-03-15T11:46:10.000+01:00","41","0.157","18","37"
"2023-03-15T11:46:20.000+01:00","41","0.158","18","37"
"2023-03-15T11:46:30.000+01:00","41","0.158","18","37"
"2023-03-15T11:46:40.000+01:00","41","0.158","18","37"
"2023-03-15T11:46:50.000+01:00","41","0.157","18","37"
"2023-03-15T11:47:00.000+01:00","41","0.156","18","37"
"2023-03-15T11:47:10.000+01:00","41","0.156","18","37"
"2023-03-15T11:47:20.000+01:00","41","0.157","18","37"
"2023-03-15T11:47:30.000+01:00","41","0.158","18","37"
