"time","ApparentPower","Current","Power","ReactivePower"
"2023-03-10T12:58:40.000+01:00","35","0.14","19","29"
"2023-03-10T12:58:50.000+01:00","34","0.137","19","28"
"2023-03-10T12:59:00.000+01:00","16","0.063","8","13"
"2023-03-10T12:59:10.000+01:00","16","0.063","8","14"
"2023-03-10T12:59:20.000+01:00","16","0.063","8","13"
"2023-03-10T12:59:30.000+01:00","16","0.064","8","14"
"2023-03-10T12:59:40.000+01:00","16","0.063","8","13"
"2023-03-10T12:59:50.000+01:00","16","0.063","8","13"
"2023-03-10T13:00:00.000+01:00","16","0.063","8","13"
"2023-03-10T13:00:10.000+01:00","15","0.063","8","13"
"2023-03-10T13:00:20.000+01:00","16","0.063","8","13"
"2023-03-10T13:00:30.000+01:00","16","0.063","8","13"
"2023-03-10T13:00:40.000+01:00","16","0.064","8","14"
"2023-03-10T13:00:50.000+01:00","15","0.063","8","14"
"2023-03-10T13:01:00.000+01:00","16","0.063","8","13"
"2023-03-10T13:01:10.000+01:00","16","0.063","8","13"
"2023-03-10T13:01:20.000+01:00","16","0.064","8","14"
"2023-03-10T13:01:30.000+01:00","16","0.062","8","14"
"2023-03-10T13:01:40.000+01:00","16","0.062","8","14"
"2023-03-10T13:01:50.000+01:00","32","0.127","17","27"
"2023-03-10T13:02:00.000+01:00","31","0.123","16","26"
"2023-03-10T13:02:10.000+01:00","32","0.128","16","28"
"2023-03-10T13:02:20.000+01:00","31","0.125","16","27"
"2023-03-10T13:02:30.000+01:00","32","0.126","16","27"
"2023-03-10T13:02:40.000+01:00","32","0.126","17","27"
"2023-03-10T13:02:50.000+01:00","32","0.127","16","27"
"2023-03-10T13:03:00.000+01:00","32","0.126","16","27"
"2023-03-10T13:03:10.000+01:00","16","0.062","8","13"
"2023-03-10T13:03:20.000+01:00","16","0.063","8","14"
"2023-03-10T13:03:30.000+01:00","16","0.062","8","14"
"2023-03-10T13:03:40.000+01:00","16","0.062","8","14"
"2023-03-10T13:03:50.000+01:00","15","0.061","8","13"
"2023-03-10T13:04:00.000+01:00","15","0.061","8","13"
"2023-03-10T13:04:10.000+01:00","16","0.062","8","14"
"2023-03-10T13:04:20.000+01:00","16","0.062","8","13"
"2023-03-10T13:04:30.000+01:00","16","0.062","8","13"
"2023-03-10T13:04:40.000+01:00","15","0.061","8","13"
"2023-03-10T13:04:50.000+01:00","16","0.062","8","14"
"2023-03-10T13:05:00.000+01:00","16","0.062","8","14"
"2023-03-10T13:05:10.000+01:00","16","0.062","8","13"
"2023-03-10T13:05:20.000+01:00","15","0.061","8","13"
"2023-03-10T13:05:30.000+01:00","32","0.127","16","28"
"2023-03-10T13:05:40.000+01:00","15","0.061","8","13"
"2023-03-10T13:05:50.000+01:00","16","0.062","8","13"
"2023-03-10T13:06:00.000+01:00","16","0.062","8","13"
"2023-03-10T13:06:10.000+01:00","16","0.062","8","13"
"2023-03-10T13:06:20.000+01:00","16","0.062","8","14"
"2023-03-10T13:06:30.000+01:00","16","0.062","8","13"
"2023-03-10T13:06:40.000+01:00","16","0.062","8","13"
"2023-03-10T13:06:50.000+01:00","16","0.062","8","14"
"2023-03-10T13:07:00.000+01:00","15","0.061","8","13"
"2023-03-10T13:07:10.000+01:00","34","0.134","16","30"
"2023-03-10T13:07:20.000+01:00","33","0.132","17","28"
"2023-03-10T13:07:30.000+01:00","31","0.125","17","27"
"2023-03-10T13:07:40.000+01:00","33","0.13","16","28"
"2023-03-10T13:07:50.000+01:00","16","0.062","8","14"
"2023-03-10T13:08:00.000+01:00","16","0.062","8","13"
"2023-03-10T13:08:10.000+01:00","16","0.062","8","13"
"2023-03-10T13:08:20.000+01:00","32","0.129","17","28"
"2023-03-10T13:08:30.000+01:00","33","0.13","16","28"
"2023-03-10T13:08:40.000+01:00","32","0.127","16","27"
"2023-03-10T13:08:50.000+01:00","33","0.132","16","29"
"2023-03-10T13:09:00.000+01:00","32","0.127","17","27"
"2023-03-10T13:09:10.000+01:00","32","0.128","16","28"
"2023-03-10T13:09:20.000+01:00","32","0.127","17","27"
"2023-03-10T13:09:30.000+01:00","32","0.128","16","28"
"2023-03-10T13:09:40.000+01:00","33","0.131","17","28"
"2023-03-10T13:09:50.000+01:00","34","0.136","17","30"
"2023-03-10T13:10:00.000+01:00","16","0.063","8","14"
"2023-03-10T13:10:10.000+01:00","16","0.062","8","14"
"2023-03-10T13:10:20.000+01:00","15","0.061","8","13"
"2023-03-10T13:10:30.000+01:00","32","0.128","16","28"
"2023-03-10T13:10:40.000+01:00","32","0.127","17","27"
"2023-03-10T13:10:50.000+01:00","33","0.133","17","29"
"2023-03-10T13:11:00.000+01:00","32","0.127","16","27"
"2023-03-10T13:11:10.000+01:00","16","0.062","8","13"
"2023-03-10T13:11:20.000+01:00","16","0.062","8","13"
"2023-03-10T13:11:30.000+01:00","16","0.062","8","13"
"2023-03-10T13:11:40.000+01:00","15","0.061","8","13"
"2023-03-10T13:11:50.000+01:00","15","0.061","8","13"
"2023-03-10T13:12:00.000+01:00","33","0.132","17","29"
"2023-03-10T13:12:10.000+01:00","32","0.127","16","27"
"2023-03-10T13:12:20.000+01:00","32","0.129","16","28"
"2023-03-10T13:12:30.000+01:00","32","0.129","17","28"
"2023-03-10T13:12:40.000+01:00","32","0.128","16","28"
