timestamp,ApparentPower,Current,Factor,Power,ReactivePower
1,24,0.111,0.56,14,20
2,24,0.11,0.59,14,19
3,24,0.109,0.58,14,19
4,24,0.109,0.59,14,19
5,24,0.111,0.57,14,20
6,24,0.111,0.59,14,20
7,25,0.115,0.55,14,21
8,24,0.11,0.58,14,20
9,25,0.113,0.57,14,20
10,24,0.112,0.58,14,20
11,25,0.114,0.56,14,21
12,24,0.11,0.58,14,20
13,24,0.112,0.57,14,20
14,24,0.111,0.58,14,20
15,24,0.11,0.57,14,20
16,24,0.111,0.57,14,20
17,24,0.11,0.57,14,20
18,24,0.111,0.58,14,20
19,25,0.114,0.56,14,21
20,24,0.111,0.58,14,20
21,24,0.111,0.56,14,20
22,24,0.111,0.58,14,20
23,24,0.111,0.62,15,19
24,25,0.113,0.56,14,20
25,25,0.115,0.56,14,21
26,24,0.11,0.58,14,20
27,24,0.11,0.6,14,19
28,24,0.111,0.58,14,20
29,24,0.111,0.58,14,20
30,24,0.111,0.58,14,20
31,24,0.111,0.6,15,19
32,24,0.111,0.58,14,20
33,24,0.111,0.58,14,20
34,24,0.112,0.58,14,20
35,24,0.111,0.57,14,20
36,24,0.112,0.58,14,20
37,26,0.117,0.56,14,21
38,24,0.112,0.61,15,19
39,25,0.112,0.56,14,20
40,25,0.113,0.57,14,20
41,24,0.112,0.58,14,20
42,25,0.113,0.57,14,20
43,25,0.113,0.56,14,20
44,24,0.112,0.57,14,20
45,24,0.112,0.55,13,21
46,25,0.114,0.56,14,21
47,24,0.112,0.58,14,20
48,24,0.111,0.59,14,20
49,24,0.112,0.6,15,20
50,24,0.112,0.57,14,20
51,24,0.112,0.59,15,20
52,25,0.114,0.57,14,20
53,25,0.114,0.57,14,20
54,25,0.114,0.59,15,20
55,25,0.115,0.56,14,21
56,25,0.114,0.57,14,21
57,25,0.113,0.58,14,20
58,25,0.115,0.58,15,21
59,25,0.115,0.57,14,21
60,25,0.114,0.58,15,20
61,25,0.115,0.56,14,21
62,25,0.115,0.57,14,21
63,25,0.113,0.58,14,20
64,25,0.115,0.56,14,21
65,25,0.115,0.56,14,21
66,25,0.114,0.57,14,20
67,25,0.117,0.56,14,21
68,26,0.12,0.57,15,21
69,26,0.121,0.58,15,22
70,26,0.121,0.57,15,22
71,26,0.12,0.57,15,22
72,25,0.115,0.56,14,21
73,25,0.114,0.57,14,20
74,25,0.114,0.57,14,20
75,25,0.114,0.57,14,21
76,25,0.113,0.58,14,20
77,25,0.114,0.57,14,20
78,26,0.12,0.54,14,22
79,25,0.114,0.57,14,21
80,25,0.116,0.56,14,21
81,25,0.116,0.57,14,21
82,25,0.114,0.57,14,21
83,25,0.114,0.57,14,21
84,25,0.115,0.58,15,21
85,25,0.115,0.58,15,21
86,25,0.116,0.56,14,21
87,25,0.116,0.57,15,21
88,25,0.116,0.57,14,21
89,25,0.115,0.57,14,21
90,26,0.12,0.55,14,22
91,25,0.115,0.57,14,21
92,25,0.115,0.58,15,21
93,25,0.115,0.57,14,21
94,25,0.115,0.58,15,21
95,25,0.115,0.57,14,21
96,26,0.119,0.55,14,22
97,26,0.117,0.56,14,21
98,25,0.115,0.57,14,21
99,26,0.117,0.56,14,21
100,25,0.116,0.56,14,21
101,25,0.115,0.58,15,21
102,26,0.119,0.56,15,22
103,25,0.116,0.58,15,21
104,25,0.115,0.58,15,21
105,25,0.116,0.56,14,21
106,25,0.116,0.57,15,21
107,25,0.115,0.56,14,21
108,26,0.117,0.57,15,21
109,25,0.116,0.57,14,21
110,25,0.116,0.57,14,21
111,26,0.117,0.56,14,21
112,25,0.115,0.57,14,21
113,25,0.116,0.57,15,21
114,25,0.116,0.58,15,21
115,25,0.116,0.58,15,21
116,25,0.116,0.58,15,21
117,25,0.115,0.57,14,21
118,25,0.116,0.57,15,21
119,25,0.116,0.58,15,21
120,25,0.116,0.57,14,21
121,25,0.116,0.57,15,21
122,26,0.117,0.56,14,21
123,26,0.117,0.56,14,21
124,26,0.117,0.57,15,21
125,26,0.117,0.57,15,21
126,26,0.117,0.57,15,21
127,25,0.116,0.58,15,21
128,26,0.117,0.58,15,21
129,26,0.117,0.57,15,21
130,26,0.118,0.57,15,21
131,26,0.117,0.59,15,21
132,26,0.117,0.57,15,21
133,26,0.12,0.58,15,21
134,26,0.12,0.57,15,22
135,26,0.118,0.57,15,21
136,26,0.119,0.55,14,22
137,26,0.118,0.57,15,21
138,26,0.118,0.56,15,21
139,26,0.117,0.57,15,21
140,26,0.118,0.57,15,21
141,26,0.119,0.56,15,22
142,26,0.118,0.59,15,21
143,26,0.118,0.59,15,21
144,26,0.12,0.57,15,22
145,26,0.118,0.57,15,21
146,26,0.12,0.57,15,22
147,26,0.118,0.58,15,21
148,26,0.119,0.55,14,22
149,26,0.119,0.57,15,21
150,26,0.12,0.56,15,22
151,26,0.119,0.56,15,22
152,26,0.119,0.58,15,21
153,26,0.119,0.57,15,21
154,26,0.12,0.58,15,22
155,26,0.118,0.57,15,21
156,26,0.12,0.56,15,22
157,26,0.121,0.56,15,22
158,26,0.12,0.57,15,22
159,26,0.12,0.58,15,21
160,27,0.122,0.55,15,22
161,26,0.12,0.57,15,22
162,26,0.12,0.57,15,22
163,26,0.121,0.57,15,22
164,27,0.122,0.56,15,22
165,27,0.123,0.55,15,22
166,27,0.122,0.56,15,22
167,27,0.122,0.56,15,22
168,27,0.122,0.54,15,22
169,25,0.115,0.6,15,20
170,26,0.117,0.55,14,21
171,25,0.114,0.57,14,21
172,24,0.111,0.6,15,20
173,24,0.108,0.57,14,19
174,26,0.118,0.5,13,22
175,22,0.102,0.61,14,18
176,22,0.101,0.58,13,18
177,22,0.102,0.56,13,19
178,22,0.099,0.57,12,18
179,21,0.097,0.56,12,18
180,22,0.099,0.54,12,18
181,21,0.095,0.58,12,17
182,21,0.095,0.57,12,17
183,22,0.1,0.54,12,18
184,20,0.091,0.55,11,17
185,20,0.09,0.55,11,17
186,20,0.089,0.55,11,16
187,19,0.087,0.57,11,16
188,19,0.086,0.55,10,16
189,19,0.085,0.56,11,15
190,18,0.084,0.56,10,15
191,18,0.082,0.55,10,15
192,18,0.081,0.56,10,15
193,19,0.087,0.52,10,16
194,17,0.078,0.57,10,14
195,17,0.079,0.54,9,15
196,17,0.077,0.56,10,14
197,16,0.075,0.56,9,14
198,17,0.077,0.56,10,14
199,16,0.074,0.54,9,14
200,16,0.072,0.58,9,13
201,15,0.07,0.56,9,13
202,15,0.07,0.57,9,13
203,15,0.07,0.6,9,12
204,15,0.069,0.56,8,13
205,16,0.073,0.51,8,14
206,15,0.069,0.57,9,13
207,15,0.067,0.57,8,12
208,15,0.07,0.57,9,13
209,14,0.063,0.58,8,11
