timestamp,ApparentPower,Current,Factor,Power,ReactivePower
1,12,0.054,0.25,3,11
2,12,0.054,0.24,3,12
3,12,0.054,0.25,3,12
4,12,0.054,0.25,3,11
5,12,0.053,0.25,3,11
6,12,0.054,0.24,3,12
7,12,0.053,0.24,3,11
8,12,0.053,0.24,3,11
9,12,0.054,0.22,3,12
10,12,0.054,0.25,3,12
11,12,0.053,0.24,3,11
12,12,0.053,0.23,3,11
13,12,0.053,0.25,3,11
14,12,0.054,0.22,3,12
15,12,0.053,0.23,3,11
16,11,0.052,0.24,3,11
17,12,0.053,0.24,3,11
18,12,0.053,0.23,3,11
19,12,0.053,0.24,3,11
20,12,0.054,0.23,3,12
21,12,0.054,0.24,3,12
22,12,0.054,0.23,3,12
23,12,0.053,0.24,3,11
24,12,0.054,0.22,3,12
25,12,0.054,0.24,3,12
26,12,0.055,0.22,3,12
27,12,0.053,0.22,3,11
28,12,0.054,0.24,3,12
29,12,0.054,0.25,3,12
30,12,0.056,0.22,3,12
31,12,0.054,0.23,3,12
32,12,0.054,0.24,3,12
33,12,0.054,0.23,3,12
34,12,0.054,0.24,3,12
35,12,0.053,0.24,3,11
36,12,0.053,0.25,3,11
37,12,0.054,0.24,3,12
38,15,0.067,0.21,3,14
39,12,0.057,0.23,3,12
40,12,0.054,0.24,3,12
41,14,0.064,0.2,3,14
42,12,0.054,0.24,3,12
43,12,0.054,0.23,3,12
44,12,0.055,0.22,3,12
45,12,0.055,0.24,3,12
46,13,0.057,0.23,3,12
47,12,0.057,0.23,3,12
48,12,0.056,0.2,3,12
49,12,0.055,0.24,3,12
50,12,0.055,0.22,3,12
51,12,0.055,0.24,3,12
52,12,0.054,0.24,3,12
53,12,0.054,0.25,3,11
54,12,0.054,0.24,3,12
55,12,0.054,0.24,3,12
56,12,0.055,0.23,3,12
57,12,0.054,0.23,3,12
58,12,0.054,0.23,3,12
59,12,0.055,0.22,3,12
60,12,0.055,0.23,3,12
61,12,0.053,0.23,3,11
62,12,0.055,0.23,3,12
63,12,0.056,0.34,4,12
64,12,0.055,0.35,4,11
65,12,0.055,0.34,4,11
66,12,0.055,0.33,4,11
67,12,0.056,0.33,4,12
68,12,0.055,0.36,4,11
69,12,0.056,0.33,4,12
70,12,0.055,0.33,4,11
71,12,0.056,0.34,4,12
72,12,0.055,0.36,4,11
73,12,0.055,0.34,4,11
74,12,0.056,0.33,4,12
75,12,0.055,0.34,4,11
76,12,0.055,0.34,4,11
77,13,0.058,0.34,4,12
78,12,0.055,0.35,4,11
79,12,0.055,0.35,4,11
80,12,0.055,0.35,4,11
81,12,0.056,0.33,4,12
82,12,0.056,0.34,4,12
83,12,0.056,0.33,4,12
84,12,0.055,0.33,4,11
85,12,0.056,0.33,4,12
86,12,0.055,0.32,4,11
87,12,0.055,0.34,4,11
88,12,0.055,0.32,4,11
89,12,0.055,0.34,4,11
90,12,0.056,0.33,4,12
91,12,0.056,0.33,4,12
92,12,0.055,0.38,5,11
93,12,0.057,0.31,4,12
94,12,0.055,0.34,4,11
95,12,0.056,0.33,4,12
96,13,0.058,0.32,4,12
97,12,0.056,0.32,4,12
98,12,0.056,0.33,4,12
99,12,0.057,0.33,4,12
100,12,0.055,0.34,4,11
101,12,0.056,0.33,4,12
102,12,0.057,0.34,4,12
103,12,0.055,0.34,4,11
104,12,0.055,0.34,4,11
105,12,0.055,0.33,4,11
106,12,0.055,0.33,4,11
107,12,0.055,0.34,4,11
108,12,0.055,0.33,4,11
109,12,0.055,0.34,4,11
110,12,0.055,0.33,4,11
111,12,0.055,0.33,4,11
112,12,0.056,0.33,4,12
113,12,0.056,0.32,4,12
114,13,0.059,0.29,4,12
115,12,0.055,0.33,4,11
116,12,0.055,0.32,4,11
117,12,0.055,0.32,4,11
118,13,0.058,0.29,4,12
119,12,0.056,0.33,4,12
120,12,0.055,0.33,4,11
121,13,0.058,0.32,4,12
122,12,0.055,0.35,4,11
123,12,0.056,0.33,4,12
124,12,0.056,0.35,4,12
