timestamp,ApparentPower,Current,Factor,Power,ReactivePower
1,17,0.08,0.05,1,17
2,17,0.081,0.05,1,17
3,17,0.081,0.05,1,17
4,18,0.081,0.05,1,18
5,18,0.083,0.05,1,18
6,18,0.082,0.05,1,18
7,18,0.083,0.04,1,18
8,18,0.082,0.05,1,18
9,17,0.077,0.04,1,17
10,18,0.084,0.04,1,18
11,18,0.083,0.04,1,18
12,18,0.082,0.05,1,18
13,18,0.082,0.05,1,18
14,18,0.082,0.05,1,18
15,18,0.082,0.05,1,18
16,18,0.083,0.04,1,18
17,17,0.079,0.05,1,17
18,18,0.082,0.05,1,18
19,17,0.079,0.05,1,17
20,18,0.082,0.05,1,18
21,18,0.082,0.05,1,18
22,18,0.083,0.04,1,18
23,18,0.082,0.05,1,18
24,18,0.082,0.05,1,18
25,18,0.081,0.05,1,18
26,18,0.083,0.04,1,18
27,18,0.082,0.04,1,18
28,18,0.082,0.04,1,18
29,18,0.082,0.04,1,18
30,18,0.082,0.05,1,18
31,18,0.083,0.04,1,18
32,18,0.082,0.04,1,18
33,18,0.082,0.05,1,18
34,18,0.082,0.05,1,18
35,18,0.082,0.05,1,18
36,18,0.081,0.05,1,18
37,18,0.083,0.04,1,18
38,18,0.082,0.05,1,18
39,18,0.082,0.05,1,18
40,18,0.081,0.05,1,18
41,18,0.082,0.04,1,18
42,18,0.082,0.05,1,18
43,18,0.082,0.05,1,18
44,18,0.082,0.06,1,18
45,18,0.082,0.05,1,18
46,18,0.082,0.05,1,18
47,17,0.08,0.05,1,17
48,18,0.082,0.05,1,18
49,18,0.082,0.05,1,18
50,18,0.082,0.05,1,18
51,18,0.082,0.05,1,18
52,18,0.082,0.05,1,18
53,18,0.082,0.05,1,18
54,18,0.082,0.05,1,18
55,18,0.083,0.05,1,18
56,18,0.082,0.05,1,18
57,17,0.081,0.05,1,18
58,18,0.082,0.05,1,18
59,18,0.082,0.05,1,18
60,18,0.082,0.05,1,18
61,18,0.082,0.05,1,18
62,18,0.083,0.05,1,18
63,18,0.082,0.05,1,18
64,3,0.015,1,3,0
65,76,0.354,0.97,74,18
66,77,0.358,0.95,74,23
67,76,0.355,0.96,74,21
68,77,0.356,0.95,73,23
69,71,0.331,1,71,0
70,78,0.36,0.96,75,22
71,56,0.262,0.88,50,27
72,52,0.243,0.98,51,12
73,53,0.246,0.73,39,36
74,64,0.295,0.57,36,52
75,49,0.226,0.9,44,21
76,42,0.195,0.73,31,29
77,42,0.195,0.73,31,29
78,42,0.196,0.73,31,29
79,42,0.196,0.74,31,28
80,42,0.195,0.73,31,29
81,42,0.195,0.75,31,28
82,42,0.194,0.73,31,29
83,42,0.194,0.75,31,28
84,42,0.195,0.73,31,29
85,42,0.194,0.74,31,28
86,42,0.194,0.73,31,29
87,42,0.194,0.75,31,28
88,42,0.194,0.74,31,28
89,42,0.194,0.75,32,28
90,42,0.194,0.73,31,29
91,42,0.195,0.73,31,29
92,42,0.194,0.72,30,29
93,42,0.194,0.73,31,29
94,42,0.195,0.73,31,29
95,42,0.193,0.74,31,28
96,42,0.193,0.72,30,29
97,42,0.194,0.73,31,28
98,42,0.193,0.73,31,28
99,42,0.194,0.74,31,28
100,42,0.194,0.74,31,28
101,42,0.194,0.74,31,28
102,42,0.193,0.74,31,28
103,42,0.194,0.74,31,28
104,42,0.193,0.73,30,29
105,42,0.193,0.73,31,28
106,42,0.193,0.73,30,28
107,42,0.193,0.74,31,28
108,42,0.193,0.74,31,28
109,42,0.194,0.72,30,29
110,42,0.193,0.73,31,28
111,42,0.193,0.72,30,29
112,42,0.193,0.72,30,29
113,42,0.193,0.73,31,28
114,42,0.193,0.74,31,28
115,41,0.192,0.72,30,29
116,42,0.193,0.72,30,29
117,42,0.193,0.73,31,28
118,41,0.192,0.73,30,29
119,42,0.193,0.72,30,29
120,42,0.194,0.72,30,29
121,42,0.193,0.72,30,29
122,42,0.193,0.72,30,29
123,42,0.192,0.72,30,29
