timestamp,ApparentPower,Current,Factor,Power,ReactivePower
1,13,0.058,0.49,6,11
2,13,0.058,0.49,6,11
3,13,0.057,0.48,6,11
4,13,0.058,0.49,6,11
5,12,0.057,0.49,6,11
6,12,0.057,0.49,6,11
7,13,0.058,0.48,6,11
8,13,0.057,0.46,6,11
9,13,0.058,0.47,6,11
10,13,0.058,0.47,6,11
11,12,0.057,0.47,6,11
12,12,0.057,0.46,6,11
13,12,0.057,0.5,6,11
14,12,0.057,0.48,6,11
15,12,0.057,0.47,6,11
16,13,0.058,0.47,6,11
17,13,0.058,0.48,6,11
18,13,0.058,0.48,6,11
19,13,0.058,0.47,6,11
20,13,0.058,0.49,6,11
21,13,0.058,0.46,6,11
22,13,0.058,0.44,6,11
23,12,0.057,0.47,6,11
24,12,0.057,0.47,6,11
25,12,0.057,0.49,6,11
26,13,0.058,0.47,6,11
27,12,0.057,0.47,6,11
28,13,0.058,0.46,6,11
29,13,0.058,0.47,6,11
30,13,0.058,0.46,6,11
31,13,0.058,0.46,6,11
32,13,0.058,0.47,6,11
33,12,0.057,0.47,6,11
34,12,0.057,0.49,6,11
35,13,0.058,0.47,6,11
36,12,0.057,0.48,6,11
37,13,0.058,0.47,6,11
38,11,0.052,0.44,5,10
39,11,0.052,0.45,5,10
40,11,0.052,0.44,5,10
41,11,0.052,0.44,5,10
42,11,0.052,0.45,5,10
43,12,0.053,0.45,5,10
44,11,0.052,0.44,5,10
45,12,0.056,0.4,5,11
46,14,0.063,0.41,6,13
47,11,0.052,0.44,5,10
48,12,0.053,0.42,5,11
49,11,0.052,0.42,5,10
50,11,0.052,0.45,5,10
51,11,0.052,0.44,5,10
52,12,0.053,0.41,5,11
53,11,0.052,0.42,5,10
54,14,0.064,0.39,5,13
55,11,0.052,0.44,5,10
56,11,0.052,0.43,5,10
57,11,0.052,0.46,5,10
58,11,0.052,0.42,5,10
59,12,0.053,0.44,5,10
60,11,0.052,0.46,5,10
61,11,0.052,0.46,5,10
62,11,0.052,0.45,5,10
63,11,0.052,0.45,5,10
64,11,0.052,0.45,5,10
65,11,0.052,0.44,5,10
66,12,0.053,0.43,5,11
67,11,0.052,0.43,5,10
68,12,0.053,0.43,5,11
69,11,0.052,0.43,5,10
70,11,0.052,0.47,5,10
71,3,0.015,1,3,0
72,0,0,0,0,0
73,18,0.084,0.56,10,15
74,18,0.084,0.56,10,15
75,18,0.083,0.56,10,15
76,13,0.058,0.45,6,11
77,13,0.058,0.47,6,11
78,13,0.058,0.46,6,11
79,13,0.06,0.44,6,12
80,12,0.057,0.48,6,11
81,13,0.058,0.48,6,11
82,12,0.057,0.46,6,11
83,14,0.063,0.43,6,13
84,14,0.062,0.42,6,12
85,13,0.058,0.46,6,11
86,12,0.057,0.47,6,11
87,13,0.058,0.48,6,11
88,12,0.057,0.47,6,11
89,13,0.058,0.46,6,11
90,13,0.058,0.46,6,11
91,13,0.058,0.48,6,11
92,13,0.058,0.46,6,11
93,13,0.058,0.46,6,11
94,13,0.061,0.43,6,12
95,13,0.058,0.47,6,11
96,13,0.058,0.46,6,11
97,13,0.058,0.48,6,11
98,12,0.057,0.47,6,11
99,13,0.058,0.44,6,11
100,13,0.058,0.45,6,11
101,12,0.057,0.46,6,11
102,12,0.057,0.47,6,11
103,12,0.057,0.46,6,11
104,11,0.052,0.42,5,10
105,0,0,0,0,0
106,0,0,0,0,0
107,0,0,0,0,0
108,0,0,0,0,0
109,0,0,0,0,0
110,3,0.016,0.46,2,3
111,0,0,0,0,0
112,0,0,0,0,0
113,0,0,0,0,0
114,0,0,0,0,0
115,0,0,0,0,0
116,2,0.011,1,2,0
117,43,0.199,0.31,14,41
118,15,0.069,0.99,15,3
119,25,0.113,0.55,14,21
