"time","ApparentPower","Current","Factor","Power","ReactivePower","Voltage"
"2023-02-16T09:19:20.000+01:00","12","0.054","0.25","3","11","219"
"2023-02-16T09:19:30.000+01:00","12","0.054","0.24","3","12","219"
"2023-02-16T09:19:40.000+01:00","12","0.054","0.25","3","12","219"
"2023-02-16T09:19:50.000+01:00","12","0.054","0.25","3","11","219"
"2023-02-16T09:20:00.000+01:00","12","0.053","0.25","3","11","219"
"2023-02-16T09:20:10.000+01:00","12","0.054","0.24","3","12","219"
"2023-02-16T09:20:20.000+01:00","12","0.053","0.24","3","11","219"
"2023-02-16T09:20:30.000+01:00","12","0.053","0.24","3","11","218"
"2023-02-16T09:20:40.000+01:00","12","0.054","0.22","3","12","219"
"2023-02-16T09:20:50.000+01:00","12","0.054","0.25","3","12","219"
"2023-02-16T09:21:00.000+01:00","12","0.053","0.24","3","11","219"
"2023-02-16T09:21:10.000+01:00","12","0.053","0.23","3","11","218"
"2023-02-16T09:21:20.000+01:00","12","0.053","0.25","3","11","218"
"2023-02-16T09:21:30.000+01:00","12","0.054","0.22","3","12","218"
"2023-02-16T09:21:40.000+01:00","12","0.053","0.23","3","11","218"
"2023-02-16T09:21:50.000+01:00","11","0.052","0.24","3","11","218"
"2023-02-16T09:22:00.000+01:00","12","0.053","0.24","3","11","218"
"2023-02-16T09:22:10.000+01:00","12","0.053","0.23","3","11","218"
"2023-02-16T09:22:20.000+01:00","12","0.053","0.24","3","11","218"
"2023-02-16T09:22:30.000+01:00","12","0.054","0.23","3","12","218"
"2023-02-16T09:22:40.000+01:00","12","0.054","0.24","3","12","218"
"2023-02-16T09:22:50.000+01:00","12","0.054","0.23","3","12","218"
"2023-02-16T09:23:00.000+01:00","12","0.053","0.24","3","11","218"
"2023-02-16T09:23:10.000+01:00","12","0.054","0.22","3","12","219"
"2023-02-16T09:23:20.000+01:00","12","0.054","0.24","3","12","219"
"2023-02-16T09:23:30.000+01:00","12","0.055","0.22","3","12","219"
"2023-02-16T09:23:40.000+01:00","12","0.053","0.22","3","11","219"
"2023-02-16T09:23:50.000+01:00","12","0.054","0.24","3","12","219"
"2023-02-16T09:24:00.000+01:00","12","0.054","0.25","3","12","219"
"2023-02-16T09:24:10.000+01:00","12","0.056","0.22","3","12","219"
"2023-02-16T09:24:20.000+01:00","12","0.054","0.23","3","12","219"
"2023-02-16T09:24:30.000+01:00","12","0.054","0.24","3","12","219"
"2023-02-16T09:24:40.000+01:00","12","0.054","0.23","3","12","219"
"2023-02-16T09:24:50.000+01:00","12","0.054","0.24","3","12","218"
"2023-02-16T09:25:00.000+01:00","12","0.053","0.24","3","11","219"
"2023-02-16T09:25:10.000+01:00","12","0.053","0.25","3","11","218"
"2023-02-16T09:25:20.000+01:00","12","0.054","0.24","3","12","218"
"2023-02-16T09:25:30.000+01:00","15","0.067","0.21","3","14","218"
"2023-02-16T09:25:40.000+01:00","12","0.057","0.23","3","12","219"
"2023-02-16T09:25:50.000+01:00","12","0.054","0.24","3","12","219"
"2023-02-16T09:26:00.000+01:00","14","0.064","0.2","3","14","219"
"2023-02-16T09:26:10.000+01:00","12","0.054","0.24","3","12","219"
"2023-02-16T09:26:20.000+01:00","12","0.054","0.23","3","12","219"
"2023-02-16T09:26:30.000+01:00","12","0.055","0.22","3","12","219"
"2023-02-16T09:26:40.000+01:00","12","0.055","0.24","3","12","219"
"2023-02-16T09:26:50.000+01:00","13","0.057","0.23","3","12","220"
"2023-02-16T09:27:00.000+01:00","12","0.057","0.23","3","12","219"
"2023-02-16T09:27:10.000+01:00","12","0.056","0.2","3","12","219"
"2023-02-16T09:27:20.000+01:00","12","0.055","0.24","3","12","220"
"2023-02-16T09:27:30.000+01:00","12","0.055","0.22","3","12","220"
"2023-02-16T09:27:40.000+01:00","12","0.055","0.24","3","12","219"
"2023-02-16T09:27:50.000+01:00","12","0.054","0.24","3","12","219"
"2023-02-16T09:28:00.000+01:00","12","0.054","0.25","3","11","219"
"2023-02-16T09:28:10.000+01:00","12","0.054","0.24","3","12","219"
"2023-02-16T09:28:20.000+01:00","12","0.054","0.24","3","12","219"
"2023-02-16T09:28:30.000+01:00","12","0.055","0.23","3","12","219"
"2023-02-16T09:28:40.000+01:00","12","0.054","0.23","3","12","219"
"2023-02-16T09:28:50.000+01:00","12","0.054","0.23","3","12","219"
"2023-02-16T09:29:00.000+01:00","12","0.055","0.22","3","12","219"
"2023-02-16T09:29:10.000+01:00","12","0.055","0.23","3","12","220"
"2023-02-16T09:29:20.000+01:00","12","0.053","0.23","3","11","219"
"2023-02-16T09:29:30.000+01:00","12","0.055","0.23","3","12","220"
"2023-02-16T09:29:40.000+01:00","12","0.056","0.34","4","12","220"
"2023-02-16T09:29:50.000+01:00","12","0.055","0.35","4","11","219"
"2023-02-16T09:30:00.000+01:00","12","0.055","0.34","4","11","219"
"2023-02-16T09:30:10.000+01:00","12","0.055","0.33","4","11","219"
"2023-02-16T09:30:20.000+01:00","12","0.056","0.33","4","12","219"
"2023-02-16T09:30:30.000+01:00","12","0.055","0.36","4","11","219"
"2023-02-16T09:30:40.000+01:00","12","0.056","0.33","4","12","219"
"2023-02-16T09:30:50.000+01:00","12","0.055","0.33","4","11","219"
"2023-02-16T09:31:00.000+01:00","12","0.056","0.34","4","12","219"
"2023-02-16T09:31:10.000+01:00","12","0.055","0.36","4","11","219"
"2023-02-16T09:31:20.000+01:00","12","0.055","0.34","4","11","219"
"2023-02-16T09:31:30.000+01:00","12","0.056","0.33","4","12","220"
"2023-02-16T09:31:40.000+01:00","12","0.055","0.34","4","11","219"
"2023-02-16T09:31:50.000+01:00","12","0.055","0.34","4","11","219"
