timestamp,ApparentPower,Current,Factor,Power,ReactivePower,Voltage
1,12,0.054,0.25,3,11,219
2,12,0.054,0.24,3,12,219
3,12,0.054,0.25,3,12,219
4,12,0.054,0.25,3,11,219
5,12,0.053,0.25,3,11,219
6,12,0.054,0.24,3,12,219
7,12,0.053,0.24,3,11,219
8,12,0.053,0.24,3,11,218
9,12,0.054,0.22,3,12,219
10,12,0.054,0.25,3,12,219
11,12,0.053,0.24,3,11,219
12,12,0.053,0.23,3,11,218
13,12,0.053,0.25,3,11,218
14,12,0.054,0.22,3,12,218
15,12,0.053,0.23,3,11,218
16,11,0.052,0.24,3,11,218
17,12,0.053,0.24,3,11,218
18,12,0.053,0.23,3,11,218
19,12,0.053,0.24,3,11,218
20,12,0.054,0.23,3,12,218
21,12,0.054,0.24,3,12,218
22,12,0.054,0.23,3,12,218
23,12,0.053,0.24,3,11,218
24,12,0.054,0.22,3,12,219
25,12,0.054,0.24,3,12,219
26,12,0.055,0.22,3,12,219
27,12,0.053,0.22,3,11,219
28,12,0.054,0.24,3,12,219
29,12,0.054,0.25,3,12,219
30,12,0.056,0.22,3,12,219
31,12,0.054,0.23,3,12,219
32,12,0.054,0.24,3,12,219
33,12,0.054,0.23,3,12,219
34,12,0.054,0.24,3,12,218
35,12,0.053,0.24,3,11,219
36,12,0.053,0.25,3,11,218
37,12,0.054,0.24,3,12,218
38,15,0.067,0.21,3,14,218
39,12,0.057,0.23,3,12,219
40,12,0.054,0.24,3,12,219
41,14,0.064,0.2,3,14,219
42,12,0.054,0.24,3,12,219
43,12,0.054,0.23,3,12,219
44,12,0.055,0.22,3,12,219
45,12,0.055,0.24,3,12,219
46,13,0.057,0.23,3,12,220
47,12,0.057,0.23,3,12,219
48,12,0.056,0.2,3,12,219
49,12,0.055,0.24,3,12,220
50,12,0.055,0.22,3,12,220
51,12,0.055,0.24,3,12,219
52,12,0.054,0.24,3,12,219
53,12,0.054,0.25,3,11,219
54,12,0.054,0.24,3,12,219
55,12,0.054,0.24,3,12,219
56,12,0.055,0.23,3,12,219
57,12,0.054,0.23,3,12,219
58,12,0.054,0.23,3,12,219
59,12,0.055,0.22,3,12,219
60,12,0.055,0.23,3,12,220
61,12,0.053,0.23,3,11,219
62,12,0.055,0.23,3,12,220
63,12,0.056,0.34,4,12,220
64,12,0.055,0.35,4,11,219
65,12,0.055,0.34,4,11,219
66,12,0.055,0.33,4,11,219
67,12,0.056,0.33,4,12,219
68,12,0.055,0.36,4,11,219
69,12,0.056,0.33,4,12,219
70,12,0.055,0.33,4,11,219
71,12,0.056,0.34,4,12,219
72,12,0.055,0.36,4,11,219
73,12,0.055,0.34,4,11,219
74,12,0.056,0.33,4,12,220
75,12,0.055,0.34,4,11,219
76,12,0.055,0.34,4,11,219
77,13,0.058,0.34,4,12,219
78,12,0.055,0.35,4,11,219
79,12,0.055,0.35,4,11,218
80,12,0.055,0.35,4,11,218
81,12,0.056,0.33,4,12,219
82,12,0.056,0.34,4,12,218
83,12,0.056,0.33,4,12,219
84,12,0.055,0.33,4,11,219
85,12,0.056,0.33,4,12,218
86,12,0.055,0.32,4,11,219
87,12,0.055,0.34,4,11,219
88,12,0.055,0.32,4,11,218
89,12,0.055,0.34,4,11,218
90,12,0.056,0.33,4,12,219
91,12,0.056,0.33,4,12,219
92,12,0.055,0.38,5,11,219
93,12,0.057,0.31,4,12,218
94,12,0.055,0.34,4,11,218
95,12,0.056,0.33,4,12,219
96,13,0.058,0.32,4,12,219
97,12,0.056,0.32,4,12,219
98,12,0.056,0.33,4,12,219
99,12,0.057,0.33,4,12,219
100,12,0.055,0.34,4,11,219
101,12,0.056,0.33,4,12,219
102,12,0.057,0.34,4,12,219
103,12,0.055,0.34,4,11,219
104,12,0.055,0.34,4,11,218
105,12,0.055,0.33,4,11,218
106,12,0.055,0.33,4,11,219
107,12,0.055,0.34,4,11,219
108,12,0.055,0.33,4,11,219
109,12,0.055,0.34,4,11,219
110,12,0.055,0.33,4,11,219
111,12,0.055,0.33,4,11,219
112,12,0.056,0.33,4,12,219
113,12,0.056,0.32,4,12,219
114,13,0.059,0.29,4,12,219
115,12,0.055,0.33,4,11,219
116,12,0.055,0.32,4,11,219
117,12,0.055,0.32,4,11,219
118,13,0.058,0.29,4,12,219
119,12,0.056,0.33,4,12,219
120,12,0.055,0.33,4,11,219
121,13,0.058,0.32,4,12,220
122,12,0.055,0.35,4,11,219
123,12,0.056,0.33,4,12,219
124,12,0.056,0.35,4,12,220
