"time","ApparentPower","Current","Factor","Power","ReactivePower","Voltage"
"2023-03-09T15:22:40.000+01:00","4","0.017","0.21","1","4","256"
"2023-03-09T15:22:50.000+01:00","51","0.199","0.46","24","45","256"
"2023-03-09T15:23:00.000+01:00","50","0.194","0.59","29","40","256"
"2023-03-09T15:23:10.000+01:00","76","0.295","0.47","36","67","256"
"2023-03-09T15:23:20.000+01:00","34","0.132","0.38","13","31","256"
"2023-03-09T15:23:30.000+01:00","30","0.119","0.42","13","28","256"
"2023-03-09T15:25:10.000+01:00","46","0.179","0.35","16","43","256"
"2023-03-09T15:25:20.000+01:00","44","0.173","0.66","29","33","256"
"2023-03-09T15:25:30.000+01:00","50","0.195","0.52","26","43","256"
"2023-03-09T15:25:40.000+01:00","135","0.53","0.34","46","127","256"
"2023-03-09T15:25:50.000+01:00","31","0.121","0.42","13","28","256"
"2023-03-09T15:26:00.000+01:00","30","0.117","0.42","13","27","256"
"2023-03-09T15:26:40.000+01:00","46","0.181","0.48","22","41","256"
"2023-03-09T15:26:50.000+01:00","58","0.226","0.43","25","52","256"
"2023-03-09T15:27:00.000+01:00","52","0.204","0.55","29","44","256"
"2023-03-09T15:27:10.000+01:00","55","0.215","0.25","14","53","255"
"2023-03-09T15:27:20.000+01:00","32","0.126","0.59","19","26","256"
"2023-03-09T15:27:30.000+01:00","82","0.323","0.58","48","67","255"
"2023-03-09T15:28:10.000+01:00","5","0.018","0.22","1","5","256"
"2023-03-09T15:28:20.000+01:00","46","0.182","0.5","23","40","255"
"2023-03-09T15:28:30.000+01:00","110","0.431","0.44","49","99","255"
"2023-03-09T15:28:40.000+01:00","61","0.238","0.22","13","59","256"
"2023-03-09T15:28:50.000+01:00","31","0.122","0.41","13","29","256"
"2023-03-09T15:29:00.000+01:00","31","0.12","0.42","13","28","256"
"2023-03-09T15:29:40.000+01:00","45","0.178","0.36","16","42","255"
"2023-03-09T15:29:50.000+01:00","51","0.201","0.5","26","44","255"
"2023-03-09T15:30:00.000+01:00","57","0.225","0.52","30","49","255"
"2023-03-09T15:30:10.000+01:00","71","0.279","0.39","28","65","255"
"2023-03-09T15:30:20.000+01:00","31","0.123","0.43","14","28","255"
"2023-03-09T15:30:30.000+01:00","31","0.12","0.43","13","28","255"
"2023-03-09T15:31:20.000+01:00","5","0.019","0.41","2","4","255"
"2023-03-09T15:31:30.000+01:00","48","0.19","0.47","23","43","255"
"2023-03-09T15:31:40.000+01:00","130","0.512","0.44","58","117","255"
"2023-03-09T15:31:50.000+01:00","54","0.213","0.58","31","44","255"
"2023-03-09T15:32:00.000+01:00","31","0.121","0.41","13","28","255"
"2023-03-09T15:32:10.000+01:00","31","0.12","0.48","15","27","255"
"2023-03-09T15:32:40.000+01:00","7","0.029","1","7","0","255"
"2023-03-09T15:32:50.000+01:00","43","0.167","0.52","22","36","255"
"2023-03-09T15:33:00.000+01:00","52","0.203","0.51","27","44","255"
"2023-03-09T15:33:10.000+01:00","130","0.509","0.36","47","121","255"
"2023-03-09T15:33:20.000+01:00","36","0.143","0.37","14","34","255"
"2023-03-09T15:33:30.000+01:00","30","0.119","0.43","13","27","255"
"2023-03-09T15:34:40.000+01:00","37","0.143","0.44","16","33","256"
"2023-03-09T15:34:50.000+01:00","54","0.211","0.44","24","49","256"
"2023-03-09T15:35:00.000+01:00","55","0.216","0.53","30","47","256"
"2023-03-09T15:35:10.000+01:00","93","0.362","0.32","30","88","256"
"2023-03-09T15:35:20.000+01:00","31","0.121","0.42","13","28","255"
"2023-03-09T15:35:30.000+01:00","30","0.118","0.42","13","27","255"
"2023-03-09T15:36:30.000+01:00","12","0.046","0.09","1","12","255"
"2023-03-09T15:36:40.000+01:00","56","0.219","0.49","28","49","255"
"2023-03-09T15:36:50.000+01:00","72","0.281","0.28","20","69","255"
"2023-03-09T15:37:00.000+01:00","42","0.164","0.73","30","29","255"
"2023-03-09T15:37:10.000+01:00","31","0.12","0.43","13","28","254"
"2023-03-09T15:37:20.000+01:00","30","0.118","0.43","13","27","255"
