"time","ApparentPower","Current","Factor","Power","ReactivePower","Voltage"
"2023-03-09T14:37:20.000+01:00","27","0.102","0.47","13","24","265"
"2023-03-09T14:37:30.000+01:00","27","0.102","0.47","13","24","265"
"2023-03-09T14:37:40.000+01:00","28","0.104","0.46","13","24","265"
"2023-03-09T14:37:50.000+01:00","19","0.07","0.41","8","17","265"
"2023-03-09T14:38:00.000+01:00","19","0.07","0.39","7","17","265"
"2023-03-09T14:38:10.000+01:00","19","0.07","0.4","8","17","265"
"2023-03-09T14:38:20.000+01:00","19","0.07","0.39","7","17","265"
"2023-03-09T14:38:30.000+01:00","19","0.07","0.41","8","17","265"
"2023-03-09T14:38:40.000+01:00","19","0.071","0.4","8","17","265"
"2023-03-09T14:38:50.000+01:00","6","0.021","1","6","0","265"
"2023-03-09T14:39:00.000+01:00","27","0.103","0.45","12","24","265"
"2023-03-09T14:39:10.000+01:00","27","0.101","0.47","13","24","265"
"2023-03-09T14:39:20.000+01:00","28","0.104","0.45","12","25","265"
"2023-03-09T14:39:30.000+01:00","27","0.101","0.27","7","26","265"
"2023-03-09T14:39:40.000+01:00","19","0.07","0.4","8","17","265"
"2023-03-09T14:39:50.000+01:00","19","0.07","0.4","8","17","266"
"2023-03-09T14:40:10.000+01:00","76","0.287","0.12","9","76","265"
"2023-03-09T14:40:20.000+01:00","27","0.102","0.46","13","24","266"
"2023-03-09T14:40:30.000+01:00","28","0.104","0.45","13","25","265"
"2023-03-09T14:40:40.000+01:00","27","0.103","0.3","8","26","266"
"2023-03-09T14:40:50.000+01:00","19","0.07","0.4","7","17","266"
"2023-03-09T14:41:00.000+01:00","19","0.07","0.39","7","17","265"
"2023-03-09T14:42:00.000+01:00","853","3.215","0.22","185","833","265"
"2023-03-09T14:42:10.000+01:00","27","0.102","0.44","12","24","265"
"2023-03-09T14:42:20.000+01:00","28","0.104","0.45","12","25","265"
"2023-03-09T14:42:30.000+01:00","27","0.103","0.45","12","24","265"
"2023-03-09T14:42:40.000+01:00","19","0.07","0.39","7","17","265"
"2023-03-09T14:42:50.000+01:00","19","0.07","0.39","7","17","265"
"2023-03-09T14:43:30.000+01:00","451","1.696","0.03","12","451","266"
"2023-03-09T14:43:40.000+01:00","27","0.102","0.45","12","24","265"
"2023-03-09T14:43:50.000+01:00","27","0.103","0.45","12","24","265"
"2023-03-09T14:44:00.000+01:00","23","0.085","0.33","7","21","265"
"2023-03-09T14:44:10.000+01:00","19","0.07","0.39","7","17","265"
"2023-03-09T14:44:20.000+01:00","19","0.07","0.4","7","17","265"
"2023-03-09T14:44:50.000+01:00","43","0.162","0.65","28","33","264"
"2023-03-09T14:45:00.000+01:00","27","0.103","0.44","12","25","265"
"2023-03-09T14:45:10.000+01:00","27","0.102","0.47","13","24","265"
"2023-03-09T14:45:20.000+01:00","27","0.103","0.46","13","24","265"
"2023-03-09T14:45:30.000+01:00","19","0.07","0.38","7","17","266"
"2023-03-09T14:45:40.000+01:00","19","0.07","0.4","7","17","265"
"2023-03-09T14:46:30.000+01:00","3","0.01","1","3","0","266"
"2023-03-09T14:46:40.000+01:00","449","1.69","0.03","12","449","266"
"2023-03-09T14:46:50.000+01:00","27","0.101","0.46","12","24","266"
"2023-03-09T14:47:00.000+01:00","27","0.102","0.46","13","24","266"
"2023-03-09T14:47:10.000+01:00","23","0.086","0.32","7","22","266"
"2023-03-09T14:47:20.000+01:00","19","0.071","0.39","7","17","266"
"2023-03-09T14:48:20.000+01:00","2","0.009","1","2","0","265"
"2023-03-09T14:48:30.000+01:00","539","2.039","0.34","183","507","265"
"2023-03-09T14:48:40.000+01:00","27","0.101","0.45","12","24","265"
"2023-03-09T14:48:50.000+01:00","27","0.102","0.47","13","24","265"
"2023-03-09T14:49:00.000+01:00","27","0.102","0.46","12","24","265"
"2023-03-09T14:49:10.000+01:00","19","0.07","0.4","8","17","265"
"2023-03-09T14:50:30.000+01:00","2","0.007","1","2","0","266"
"2023-03-09T14:50:40.000+01:00","27","0.103","0.46","13","24","266"
"2023-03-09T14:50:50.000+01:00","27","0.103","0.44","12","25","266"
"2023-03-09T14:51:00.000+01:00","27","0.103","0.45","12","25","266"
"2023-03-09T14:51:10.000+01:00","19","0.07","0.39","7","17","266"
"2023-03-09T14:51:20.000+01:00","19","0.071","0.39","7","17","265"
